food_id,food_name,smiles
593,Cdp-DG(16:0/18:0),CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](C([C@@H](O1)N2C=CC(=NC2=O)N)O)O
594,"Disodium;[3-[2,3-di(octadeca-9,12-dienoyloxy)propoxy-oxidophosphoryl]oxy-2-hydroxypropyl] 2,3-di(octadeca-9,12-dienoyloxy)propyl phosphate",CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COP(=O)([O-])OCC(COC(=O)CCCCCCCC=CCC=CCCCCC)OC(=O)CCCCCCCC=CCC=CCCCCC)O)OC(=O)CCCCCCCC=CCC=CCCCCC.[Na+].[Na+]
595,1-Palmitoylglycerol 3-phosphate,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)O)O
596,Cdp-DG(16:0/16:0),CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@@H](C([C@@H](O1)N2C=CC(=NC2=O)N)O)O)OC(=O)CCCCCCCCCCCCCCC
597,Isoamyl Alcohol,CC(C)CCO
598,Glycerol,C(C(CO)O)O
599,Ethyl Acetate,CCOC(=O)C
600,Cadaverine,C(CCN)CCN
601,Isobutanol,CC(C)CO
602,Sorbitol,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
603,2-Methyl-2-butanol,CCC(C)(C)O
604,Putrescine,C(CCN)CN
605,D-Galacturonic Acid,[C@@H]1([C@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
606,Gluconic Acid,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O
607,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
608,Lignin,CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)[O-].[Na+].[Na+]
609,(-)-Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
610,Stachyose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O
611,"bis((3R,4S,5S,6R)-2-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol);(3R,4S,5S,6R)-2-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylhept-6-en-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C.CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C.CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(=C)C
612,Theaflavin (Standard),C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4[C@@H]5[C@@H](CC6=C(C=C(C=C6O5)O)O)O)O)O)C(=O)C(=C3)O)O
613,Hexanal,CCCCCC=O
614,"(1R,2S,4R,5S)-6-[(2R,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxycyclohexane-1,2,3,4,5-pentol",C1[C@@H]([C@@H]([C@H]([C@H](O1)OC2[C@@H]([C@H](C([C@H]([C@@H]2O)O)O)O)O)O)O)O
615,Epigallocatechin,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
616,Diosgenin,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1
617,Epicatechin Gallate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
618,Water,O
619,Ellagic Acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
620,Stachyurin,C1C(C(OC(=O)C2=CC(=C(C(=C2C3=C(C(=C(C=C3C(=O)O1)O)O)O)O)O)O)C4C5C(C6=C(C(=C(C(=C6C(=O)O5)C7=C(C(=C(C=C7C(=O)O4)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O
621,Luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
622,Ascorbic acid; biotin; cyanocobalamin; dexpanthenol; ergocalciferol; folic acid; niacinamide; pyridoxine hydrochloride; riboflavin 5'-phosphate sodium; thiamine hydrochloride; vitamin A; vitamin E,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O
623,Galloylpunicalin,C1[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C6C7=C5C(=O)OC8=C(C(=C(C9=C(C(=C(C=C9C(=O)O1)O)O)O)C(=C78)C(=O)O6)O)O)O)O)O)O)O
624,GlyTouCan:G35236GY,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO[C@]5([C@H]([C@@H]([C@H](O5)CO)O)O)CO[C@]6([C@H]([C@@H]([C@H](O6)CO)O)O)CO[C@]7([C@H]([C@@H]([C@H](O7)CO)O)O)CO[C@]8([C@H]([C@@H]([C@H](O8)CO)O)O)CO[C@]9([C@H]([C@@H]([C@H](O9)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO[C@]1([C@H]([C@@H]([C@H](O1)CO)O)O)CO)O)O)O)O
625,Benzoic Acid,C1=CC=C(C=C1)C(=O)O
626,Peonidin 3-arabinoside,COC1=C(C=CC(=C1)C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@H](CO4)O)O)O)O)O)O.[Cl-]
627,4-Hydroxybenzoic Acid,C1=CC(=CC=C1C(=O)O)O
628,Piperidines,C1C(C(C(C([NH2+]1)CO)O)O)O
629,Peonidin 3-galactoside,COC1=C(C=CC(=C1)C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O)O.[Cl-]
630,Betulinic Acid,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O
631,Mannitol,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
632,"Ethanedioic acid, calcium salt (1:1)",C(=O)(C(=O)[O-])[O-].[Ca+2]
633,"3,4',5,7-Tetrahydroxy-3'-methoxyflavylium",COC1=C(C=CC(=C1)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O
634,Hyperoside,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O
635,4-Hydroxyglucobrassicin,C1=CC2=C(C(=C1)O)C(=CN2)CC(=NOS(=O)(=O)O)S[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
636,Eugenol,COC1=C(C=CC(=C1)CC=C)O
637,Gamma-Terpinene,CC1=CCC(=CC1)C(C)C
638,Allyl Isothiocyanate,C=CCN=C=S
639,Myrcene,CC(=CCCC(=C)C=C)C
640,Invert Sugar,C(C(C(C(C(C=O)O)O)O)O)O.C(C(C(C(C(=O)CO)O)O)O)O
641,Apiole,COC1=C2C(=C(C(=C1)CC=C)OC)OCO2
642,Chrysoeriol 7-O-(6''-malonyl-apiosyl-glucoside),COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)CC(=O)O)O)O)O[C@H]5[C@@H]([C@](CO5)(CO)O)O)O)O
643,p-Cymen-8-ol,CC1=CC=C(C=C1)C(C)(C)O
644,Psoralen,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21
645,Hesperetin,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O
646,Terpinolene,CC1=CCC(=C(C)C)CC1
647,Apigenin 7-O-(6''-malonyl-apiosyl-glucoside),C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO[C@H]5[C@@H]([C@@H]([C@H](O5)COC(=O)CC(=O)O)O)O)O)O)O)O)O
648,Isorhamnetin,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
649,4-Methoxyglucobrassicin,COC1=CC=CC2=C1C(=CN2)CC(=NOS(=O)(=O)O)S[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
650,Coumarin,C1=CC=C2C(=C1)C=CC(=O)O2
651,4-Vinylguaiacol,COC1=C(C=CC(=C1)C=C)O
652,"Rubber, natural-smoked sheet and latex solids (hevea brasiliensis)",C1=CC(=C(C=C1CON)OP(=O)(O)O)Br
653,Myristicin,COC1=CC(=CC2=C1OCO2)CC=C
654,Imperatorin,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C
655,Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside,C1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)COC(=O)CC(=O)O)O)O)O)(CO)O
656,Bergapten,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
657,"1-Allyl-2,3,4,5-tetramethoxybenzene",COC1=C(C(=C(C(=C1)CC=C)OC)OC)OC
658,Pseudotaraxasterol,CC1C2C3CCC4C5(CCC(C(C5CCC4(C3(CCC2(CC=C1C)C)C)C)(C)C)O)C
659,"24-Methylene,25-methylcholesta-5-en-3beta-ol",C[C@H](CCC(=C)C(C)(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
660,Beta-Pinene,CC1(C2CCC(=C)C1C2)C
661,Apigenin,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
662,Xylan Sulfate,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2CO[C@H]([C@@H]([C@H]2OS(=O)(=O)O)OS(=O)(=O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)O
663,Methylamine,CN
664,P-Cymene,CC1=CC=C(C=C1)C(C)C
665,L-Glutamine,C(CC(=O)N)[C@@H](C(=O)O)N
666,Lauric Acid,CCCCCCCCCCCC(=O)O
667,(-)-Cystine,C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N
668,Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
669,Myristic Acid,CCCCCCCCCCCCCC(=O)O
670,"3,3',4',5,7-Pentahydroxy-5'-methoxyflavylium",COC1=CC(=CC(=C1O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O
671,"Glycerophospholipids, cephalins",CC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)C
672,D-Xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
673,"(2R,3R,4S,5S)-2,3,4,5-tetrahydroxyhexanal",C[C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O
674,Heptanoic Acid,CCCCCCC(=O)O
675,An inositol,C1(C(C(C(C(C1O)O)O)O)O)O
676,Amygdalin,C1=CC=C(C=C1)[C@H](C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O
677,Eicosanoic Acid,CCCCCCCCCCCCCCCCCCCC(=O)O
678,Ammonia,N
679,Kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
680,"Kaempferol 3,7,4'-O-triglucoside",C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O
681,kaempferol 3-O-sophoroside,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O
682,Nonanoic Acid,CCCCCCCCC(=O)O
683,Hexanoic Acid,CCCCCC(=O)O
684,Butyric Acid,CCCC(=O)O
685,Octanoic Acid,CCCCCCCC(=O)O
686,Npc212957,CC(C)CC(C(=NC(CCC(=N)O)C(=NC(CC(=O)O)C(=NC(CCCCN)C(=O)O)O)O)O)N=C(C(CCC(=O)O)N=C(C(CC(=O)O)N=C(C(CCC(=O)O)N=C(C(C(C)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=O)O)N=C(C(CCC(=O)O)N=C(C(COP(=O)(O)O)N=C(C(CCC(=N)O)N=C(C(CC1=CC=CC=C1)N)O)O)O)O)O)O)O)O)O)O)O)O
687,beta-D-glucopyranuronic acid,[C@@H]1([C@@H]([C@H](O[C@H]([C@@H]1O)O)C(=O)O)O)O
688,Eriocitrin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O
689,D-Lactic Acid,C[C@H](C(=O)O)O
690,Lonicerin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O
533,L-Malic Acid,C([C@@H](C(=O)O)O)C(=O)O
691,"3,5-Dihydroxyphenyl beta-D-glucopyranoside",C1=C(C=C(C=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O
692,p-Menth-4(8)-en-3-one,CC1CCC(=C(C)C)C(=O)C1
693,D-Arabitol,C([C@H](C([C@@H](CO)O)O)O)O
694,Narirutin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)O)O)O)O)O)O
695,Hesperidin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
696,Menthofuran,CC1CCC2=C(C1)OC=C2C
697,Ethyl Lactate,CCOC(=O)C(C)O
698,Erythritol,C([C@H]([C@H](CO)O)O)O
699,(-)-Menthol,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
700,Myricetin,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
701,Pyridoxine,CC1=NC=C(C(=C1O)CO)CO
