food_name,calcium_tier,vitk_tier,iron_tier,potassium_tier,magnesium_tier,zinc_tier,tyramine_tier,calcium,iron,magnesium,potassium,vitk,zinc,acid_tier
"APPLES, GRANNY SMITH",LOW,LOW,LOW,LOW,LOW,LOW,LOW,5.625,0.06875,5.0625,115.875,,0.0225,LOW
"APPLES, GRANNY SMITH, WITH SKIN, RAW",LOW,LOW,LOW,LOW,LOW,LOW,LOW,5.4825,0.069625,5.055,115.925,,0.0227625,LOW
"APPLES, HONEYCRISP",LOW,LOW,LOW,LOW,LOW,LOW,LOW,3.875,0.0,4.15,98.125,,0.01625,LOW
"APPLES, HONEYCRISP, WITH SKIN, RAW",LOW,LOW,LOW,LOW,LOW,LOW,LOW,3.8743749999999997,0.0,4.15125,98.0375,,0.018275,LOW
"APPLES, RED DELICIOUS",LOW,LOW,LOW,LOW,LOW,LOW,LOW,4.75,0.0,4.7125,95.25,,0.01875,LOW
"APPLES, RED DELICIOUS, WITH SKIN, RAW",LOW,LOW,LOW,LOW,LOW,LOW,LOW,4.65625,0.0,4.695,95.3125,,0.019637500000000002,LOW
"Almond butter, creamy",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,263.8,4.108,267.8,745.4,0.0,3.178,LOW
"Almond milk, unsweetened, plain, refrigerated",MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,157.5,0.1247,8.249,49.27,0.0,0.07661,LOW
"Almond milk, unsweetened, plain, shelf stable",MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,172.7,0.2899,6.785,30.79,,0.1718,LOW
Almonds dry roasted salted,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,273.15384615384613,3.1692307692307695,258.53846153846155,683.5384615384615,,2.803846153846154,LOW
"Almonds, dry roasted, salted - NFY1213I7",UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,,,,,0.0,,LOW
American Cheese,HIGH,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,502.3636363636364,0.24424242424242426,24.466666666666665,163.15151515151516,,2.4318181818181817,LOW
American cheese,HIGH,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,520.5217391304348,0.38565217391304346,25.37391304347826,164.95652173913044,,2.5630434782608695,LOW
"American pasteurized prepared cheese product, with added vitamin D, sliced, individually wrapped",HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,1588.75,1.48,35.675,215.625,,2.3575,LOW
"American pasteurized process cheese food, sliced, individually wrapped",HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,1660.0,1.5150000000000001,34.9,213.5,,2.33,LOW
"American pasteurized process cheese food, with added vitamin D, sliced, individually wrapped",HIGH,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,1600.0,1.47,34.3,180.0,,2.5,LOW
"American pasteurized process cheese product, sliced, individually wrapped",HIGH,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,708.0,0.0,30.0,225.0,,2.44,LOW
"Apple juice, with added vitamin C, from concentrate, shelf stable",LOW,LOW,LOW,LOW,LOW,LOW,LOW,7.099,0.04016,4.861,95.87,,0.002125,LOW
"Apples, fuji, with skin, raw",LOW,LOW,LOW,LOW,LOW,LOW,LOW,5.9875,0.0175,4.6850000000000005,103.9,,0.01838,LOW
"Apples, gala, with skin, raw",LOW,LOW,LOW,LOW,LOW,LOW,LOW,6.8195,0.060065,4.9735,105.95,,0.021745,LOW
"Apples, granny smith, with skin, raw",LOW,LOW,LOW,LOW,LOW,LOW,LOW,5.2415,0.069815,5.0775,115.95,,0.02138,LOW
"Apples, honeycrisp, with skin, raw",LOW,LOW,LOW,LOW,LOW,LOW,LOW,3.9370000000000003,0.0,4.1754999999999995,98.02000000000001,,0.01914,LOW
"Apples, red delicious, with skin, raw",LOW,LOW,LOW,LOW,LOW,LOW,LOW,4.827999999999999,0.0,4.6975,95.155,,0.01982,LOW
"Applesauce, unsweetened, with added vitamin C",LOW,LOW,LOW,LOW,LOW,LOW,LOW,3.821,0.04475,3.938,107.7,,0.002625,LOW
"Apricot, with skin, pitted, raw",LOW,LOW,LOW,MEDIUM,LOW,LOW,LOW,11.58875,0.163375,8.8825,231.375,,0.14832499999999998,LOW
"Apricot, with skin, raw",LOW,LOW,LOW,MEDIUM,LOW,LOW,LOW,11.59,0.1634,8.883,231.4,,0.1483,LOW
"Arugula, baby, raw",MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,205.15,1.336,43.51875,398.1625,,0.3504125,LOW
"Arugula, baby, raw ",MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,LOW,LOW,192.0,1.85,35.7,476.0,,0.331,LOW
"Asparagus, green, raw",LOW,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,20.58,0.4436,13.78,277.5,,0.5955,LOW
"Asparagus, green, whole spear, raw",LOW,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,20.575,0.443625,13.775,277.5,,0.5955,LOW
"Avocado, Hass, peeled, pit removed, raw",LOW,MEDIUM,LOW,HIGH,MEDIUM,LOW,MEDIUM,14.4625,0.61325,32.8,576.375,,0.459625,LOW
"Avocado, Hass, peeled, raw",LOW,MEDIUM,LOW,HIGH,MEDIUM,LOW,MEDIUM,14.46,0.6133,32.8,576.4,,0.4596,LOW
"BANANAS, RIPE",LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,4.666666666666667,0.0,28.03333333333333,325.5,,0.16333333333333333,LOW
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",LOW,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,30.333333333333332,1.8933333333333333,23.599999999999998,219.33333333333334,,2.3233333333333337,LOW
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS, MAPLE FLAVOR",LOW,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,96.0,1.38,23.2,219.0,,1.52,LOW
"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",LOW,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,11.0,1.13,12.149999999999999,351.0,,2.175,LOW
"BUTTER, STICK, SALTED",LOW,LOW,LOW,LOW,LOW,LOW,LOW,20.76923076923077,0.06076923076923077,1.6076923076923075,23.076923076923077,,0.06769230769230769,LOW
"BUTTER, STICK, UNSALTED",LOW,LOW,LOW,LOW,LOW,LOW,LOW,13.857142857142858,0.03142857142857143,1.5571428571428572,19.142857142857142,,0.07142857142857142,LOW
Bacon,LOW,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,12.8125,1.304375,35.84583333333333,537.6875,,3.470625,LOW
"Bacon, cooked",LOW,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,13.727272727272727,1.2018181818181817,38.36363636363637,598.2727272727273,,3.7681818181818185,LOW
Bacon; cooked,LOW,LOW,MEDIUM,HIGH,MEDIUM,HIGH,LOW,15.7,1.237,37.53,601.0,,3.774,LOW
"Bananas, overripe",UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,,,,,0.049999999999999996,,LOW
"Bananas, overripe, raw",UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,,,,,0.06666666666666667,,LOW
"Bananas, ripe",UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,,,,,0.049999999999999996,,LOW
"Bananas, ripe and slightly ripe, raw",LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,5.0,0.0,28.0,326.0,0.03333333333333333,0.16,LOW
"Bananas, slightly ripe",UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,,,,,0.027777777777777776,,LOW
Beans snap canned drained,LOW,LOW,LOW,LOW,LOW,LOW,LOW,35.583333333333336,0.7799999999999999,12.674999999999999,96.58333333333333,,0.19083333333333333,LOW
"Beans, Dry, Black (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,191.0,5.34,180.0,1540.0,,3.37,LOW
"Beans, Dry, Black, 11F-8000 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,165.0,7.84,200.0,1700.0,,3.55,LOW
"Beans, Dry, Black, 11F-8002 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,224.0,8.29,186.0,1590.0,,3.52,LOW
"Beans, Dry, Black, 11F-8003 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,194.0,6.96,187.0,1490.0,,3.4,LOW
"Beans, Dry, Black, 11F-8013 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,166.0,7.98,188.0,1580.0,,3.58,LOW
"Beans, Dry, Black, 11F-8015 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,189.0,7.36,205.0,1510.0,,3.02,LOW
"Beans, Dry, Black, 11F-8016 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,187.0,6.68,184.0,1470.0,,3.06,LOW
"Beans, Dry, Black, 11F-8020 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,228.0,7.77,172.0,1480.0,,3.35,LOW
"Beans, Dry, Black, 11F-8023 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,169.0,7.13,181.0,1600.0,,3.13,LOW
"Beans, Dry, Black, 11F-8029 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,215.0,8.06,200.0,1590.0,,3.79,LOW
"Beans, Dry, Black, 11F-8036 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,160.0,7.08,195.0,1420.0,,3.12,LOW
"Beans, Dry, Black, 11F-8039 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,199.0,7.95,184.0,1450.0,,3.32,LOW
"Beans, Dry, Black, 11F-8044 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,197.0,7.17,188.0,1380.0,,3.18,LOW
"Beans, Dry, Black, 11F-8045 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,129.0,7.81,170.0,1410.0,,3.26,LOW
"Beans, Dry, Black, 11F-8046 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,184.0,6.91,182.0,1360.0,,3.05,LOW
"Beans, Dry, Black, 11F-8062 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,200.0,8.4,194.0,1550.0,,3.35,LOW
"Beans, Dry, Black, 11F-8112 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,183.0,6.46,171.0,1520.0,,2.85,LOW
"Beans, Dry, Black, 11F-8116 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,179.0,7.37,184.0,1610.0,,2.89,LOW
"Beans, Dry, Black, 11F-8117 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,207.0,7.66,185.0,1460.0,,3.13,LOW
"Beans, Dry, Black, 11F-8119 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,204.0,7.72,190.0,1670.0,,3.52,LOW
"Beans, Dry, Black, 11F-8122 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,176.0,6.71,198.0,1520.0,,2.91,LOW
"Beans, Dry, Black, 11F-8123 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,186.0,6.64,197.0,1460.0,,2.72,LOW
"Beans, Dry, Black, 11F-8129 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,159.0,6.87,175.0,1490.0,,2.76,LOW
"Beans, Dry, Black, 11F-8135 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,239.0,8.7,180.0,1530.0,,3.58,LOW
"Beans, Dry, Black, 11F-8140 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,236.0,8.03,176.0,1500.0,,3.3,LOW
"Beans, Dry, Black, 11F-8146 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,200.0,7.26,188.0,1490.0,,2.87,LOW
"Beans, Dry, Black, 11F-8150 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,209.0,7.59,174.0,1550.0,,2.6,LOW
"Beans, Dry, Black, 11F-8158 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,196.0,7.66,190.0,1460.0,,3.1,LOW
"Beans, Dry, Black, 11F-8168 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,175.0,7.14,177.0,1640.0,,2.9,LOW
"Beans, Dry, Black, 11F-8177 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,178.0,9.11,184.0,1560.0,,3.05,LOW
"Beans, Dry, Black, 11F-8180 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,179.0,7.74,189.0,1550.0,,3.42,LOW
"Beans, Dry, Black, 214 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,204.0,5.03,174.0,1620.0,,3.27,LOW
"Beans, Dry, Black, 215 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,241.0,5.19,182.0,1560.0,,3.49,LOW
"Beans, Dry, Black, 219 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,197.0,4.94,178.0,1640.0,,3.41,LOW
"Beans, Dry, Black, 221 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,168.0,5.0,178.0,1620.0,,3.33,LOW
"Beans, Dry, Black, 222 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,190.0,4.94,179.0,1540.0,,3.5,LOW
"Beans, Dry, Black, 223 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,268.0,4.32,157.0,1530.0,,3.81,LOW
"Beans, Dry, Black, 225 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,143.0,4.86,161.0,1400.0,,3.32,LOW
"Beans, Dry, Black, 227 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,186.0,4.6,197.0,1520.0,,2.92,LOW
"Beans, Dry, Black, 232 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,162.0,5.28,180.0,1540.0,,3.37,LOW
"Beans, Dry, Black, 238 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,216.0,4.68,184.0,1590.0,,3.32,LOW
"Beans, Dry, Black, 244 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,125.0,4.2,167.0,1570.0,,3.4,LOW
"Beans, Dry, Black, 247 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,160.0,4.19,177.0,1410.0,,3.06,LOW
"Beans, Dry, Black, 248 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,159.0,4.0,165.0,1500.0,,3.22,LOW
"Beans, Dry, Black, 249 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,250.0,5.8,172.0,1570.0,,3.16,LOW
"Beans, Dry, Black, 250 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,153.0,4.01,160.0,1500.0,,3.21,LOW
"Beans, Dry, Black, 251 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,264.0,5.25,185.0,1560.0,,3.14,LOW
"Beans, Dry, Black, 254 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,185.0,4.94,180.0,1660.0,,3.66,LOW
"Beans, Dry, Black, 258 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,180.0,4.38,194.0,1510.0,,2.86,LOW
"Beans, Dry, Black, 259 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,201.0,3.75,188.0,1630.0,,3.47,LOW
"Beans, Dry, Black, 263 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,185.0,4.25,175.0,1550.0,,3.29,LOW
"Beans, Dry, Black, 266 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,234.0,4.88,171.0,1620.0,,3.76,LOW
"Beans, Dry, Black, 267 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,188.0,4.45,173.0,1600.0,,3.34,LOW
"Beans, Dry, Black, 269 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,165.0,3.72,182.0,1520.0,,3.32,LOW
"Beans, Dry, Black, 271 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,243.0,4.67,170.0,1500.0,,3.83,LOW
"Beans, Dry, Black, 273 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,172.0,4.38,180.0,1580.0,,3.28,LOW
"Beans, Dry, Black, 274 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,208.0,4.42,174.0,1590.0,,3.43,LOW
"Beans, Dry, Black, 276 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,183.0,4.14,170.0,1550.0,,3.84,LOW
"Beans, Dry, Black, 278 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,238.0,5.88,177.0,1630.0,,3.73,LOW
"Beans, Dry, Black, 282 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,223.0,3.98,169.0,1570.0,,3.7,LOW
"Beans, Dry, Black, 286 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,271.0,4.7,178.0,1450.0,,3.26,LOW
"Beans, Dry, Black, 288 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,185.0,4.24,160.0,1540.0,,3.34,LOW
"Beans, Dry, Black, 291 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,252.0,5.78,214.0,1660.0,,3.51,LOW
"Beans, Dry, Black, 296 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,186.0,4.88,163.0,1530.0,,3.52,LOW
"Beans, Dry, Black, 297 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,214.0,4.66,167.0,1500.0,,3.25,LOW
"Beans, Dry, Black, 298 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,162.0,4.16,153.0,1650.0,,3.17,LOW
"Beans, Dry, Black, 301 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,212.0,4.12,184.0,1540.0,,3.39,LOW
"Beans, Dry, Black, 303 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,210.0,3.51,170.0,1570.0,,3.43,LOW
"Beans, Dry, Black, 304 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,203.0,5.52,196.0,1620.0,,3.65,LOW
"Beans, Dry, Black, 305 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,188.0,5.62,182.0,1650.0,,3.54,LOW
"Beans, Dry, Black, 310 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,230.0,4.95,171.0,1730.0,,3.96,LOW
"Beans, Dry, Black, 314 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,131.0,4.8,175.0,1660.0,,3.73,LOW
"Beans, Dry, Black, 317 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,130.0,4.61,169.0,1430.0,,3.17,LOW
"Beans, Dry, Black, 318 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,199.0,4.77,168.0,1560.0,,3.51,LOW
"Beans, Dry, Black, 331 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,167.0,5.59,154.0,1540.0,,3.24,LOW
"Beans, Dry, Black, 348 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,148.0,5.56,178.0,1620.0,,3.16,LOW
"Beans, Dry, Black, 395 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,173.0,4.25,191.0,1490.0,,2.85,LOW
"Beans, Dry, Black, 424 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,201.0,4.94,182.0,1720.0,,3.65,LOW
"Beans, Dry, Black, 472 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,194.0,5.79,170.0,1590.0,,3.6,LOW
"Beans, Dry, Black, 522 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,230.0,4.18,165.0,1510.0,,3.66,LOW
"Beans, Dry, Black, 526 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,190.0,5.28,164.0,1480.0,,3.13,LOW
"Beans, Dry, Black, 528 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,223.0,4.9,186.0,1430.0,,3.89,LOW
"Beans, Dry, Black, 529 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,165.0,4.68,184.0,1440.0,,3.56,LOW
"Beans, Dry, Black, 531 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,126.0,4.63,175.0,1560.0,,3.32,LOW
"Beans, Dry, Black, 533 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,154.0,4.22,158.0,1580.0,,3.14,LOW
"Beans, Dry, Black, 534 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,133.0,4.54,170.0,1570.0,,3.36,LOW
"Beans, Dry, Black, 536 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,202.0,4.63,156.0,1530.0,,3.23,LOW
"Beans, Dry, Black, 537 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,215.0,4.16,172.0,1610.0,,3.34,LOW
"Beans, Dry, Black, 542 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,199.0,4.63,174.0,1550.0,,3.31,LOW
"Beans, Dry, Black, 545 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,229.0,5.37,172.0,1520.0,,3.63,LOW
"Beans, Dry, Black, 547 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,173.0,4.2,181.0,1410.0,,3.35,LOW
"Beans, Dry, Black, 550 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,232.0,4.74,181.0,1630.0,,3.48,LOW
"Beans, Dry, Black, 552 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,262.0,6.7,194.0,1650.0,,3.98,LOW
"Beans, Dry, Black, 553 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,168.0,5.34,195.0,1640.0,,3.53,LOW
"Beans, Dry, Black, 562 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,169.0,3.98,193.0,1180.0,,3.03,LOW
"Beans, Dry, Black, 566 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,142.0,3.22,194.0,1530.0,,3.05,LOW
"Beans, Dry, Black, 569 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,173.0,4.52,162.0,1570.0,,3.02,LOW
"Beans, Dry, Black, 570 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,149.0,4.44,188.0,1490.0,,3.86,LOW
"Beans, Dry, Black, 572 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,227.0,4.77,196.0,1640.0,,3.75,LOW
"Beans, Dry, Black, 573 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,120.0,4.71,161.0,1440.0,,3.59,LOW
"Beans, Dry, Black, 574 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,214.0,5.63,178.0,1580.0,,3.4,LOW
"Beans, Dry, Black, 575 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,260.0,4.7,200.0,1540.0,,3.6,LOW
"Beans, Dry, Black, 580 (0% moisture)",MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,LOW,152.0,4.0,167.0,1570.0,,3.2,LOW
