food_name,canonical,dfinder_id,dfinder_name,in_foodb,issues,action
Flavonoids,Flavonoids,749,Flavonoids,YES,OK,OK — exact match in DFinder
Folate,Folic Acid,11,Folic Acid,,OK,DFinder uses Folic Acid
Fructose,Fructose,514,D-Fructose,,FUZZY-MATCH,FUZZY → D-Fructose
FructoseGlucose,Glucose,509,Glucose,,OK,use Glucose node
Gelatinised Starch,Starch,831,Starch,,OK,gelatinised starch → Starch node
Geraniol,Geraniol,1320,Geraniol,YES,OK,OK — exact match in DFinder
Gingerol,Gingerol,13,Ginger,,FUZZY-MATCH,FUZZY → Ginger
Glucobrassicin,Glucobrassicin,644,4-Methoxyglucobrassicin,YES,FUZZY-MATCH,FUZZY → 4-Methoxyglucobrassicin
Glucose,Glucose,509,Glucose,YES,OK,OK — exact match in DFinder
Glucose/Fructose (Honey / Sugar Syrup),Glucose,509,Glucose,,OK,use Glucose node (honey = glucose+fructose)
Grain Starch,Starch,831,Starch,,OK,use canonical Starch node
Heme Iron,Heme Iron,1161,Hemin,,FUZZY-MATCH,FUZZY → Hemin
High-Fat Meal — Saturated Fats,Saturated Fats,,,,MISSING,simplify
Honey,Honey,177,Honey,,OK,OK — exact match in DFinder
Honey Synergy,Honey,177,Honey,,OK,internal key — use Honey
HydrationMatrix,,,,,INTERNAL-KEY|DROP|MISSING,internal structural key — drop
Icing Sugar,Icing Sugar,,,,MISSING,NOT IN DFINDER — review needed
Inositol,Inositol,670,An Inositol,,FUZZY-MATCH,FUZZY → An Inositol
Insoluble Fiber,Fiber,10,Fiber,,OK,DFinder uses Fiber node
Iodine,Iodine,492,Iodine,YES,OK,OK — exact match in DFinder
L-Arginine,L-Arginine,512,Arginine,,FUZZY-MATCH,canonical
LArginine,L-Arginine,512,Arginine,,FUZZY-MATCH,merge duplicate
Large Neutral Amino Acids,Large Neutral Amino Acids,,,,MISSING,NOT IN DFINDER — review needed
Lecithin,Lecithin,189,Soy Lecithin,,FUZZY-MATCH,FUZZY → Soy Lecithin
Leucine,Leucine,511,L-Leucine,,FUZZY-MATCH,FUZZY → L-Leucine
Limonene,Limonene,1051,Limonene,YES,OK,OK — exact match in DFinder
Linalool,Linalool,194,Linalool,YES,OK,OK — exact match in DFinder
Lipid,Fat,9,Fat,,OK,use DFinder canonical node
LipidCoatedStarch,Starch,831,Starch,,INTERNAL-KEY,internal key — use Starch
LipidSponge,Fat,9,Fat,,INTERNAL-KEY,internal key
Lutein,Lutein,197,Lutein,YES,OK,OK — exact match in DFinder
Magnesium,Magnesium,20,Magnesium,,OK,OK — exact match in DFinder
Maillard,Maillard,,,,MISSING,NOT IN DFINDER — review needed
Mg2,Magnesium,20,Magnesium,,OK,merge duplicate
Minerals,Minerals,,,,MISSING,NOT IN DFINDER — review needed
Na,Sodium,25,Sodium,,OK,merge — Na = sodium
Na+,Na+,795,Na+,YES,OK,OK — exact match in DFinder
Nasunin,Nasunin,1511,Casuarinin,,FUZZY-MATCH,FUZZY → Casuarinin
Niacin,Niacin,225,Niacin,,OK,canonical — check DFinder
Non-Heme Iron,Non-Heme Iron,,,,MISSING,canonical
NonHemeIron,Non-Heme Iron,,,,MISSING,merge duplicate
Oleic Acid,Oleic Acid,754,Oleic Acid,YES,OK,OK — exact match in DFinder
Oleuropein,Oleuropein,1411,Oleuropein,YES,OK,OK — exact match in DFinder
Omega-3,Omega-3 Fatty Acids,,,,MISSING,merge duplicate
Omega3,Omega-3 Fatty Acids,,,,MISSING,merge duplicate
Phthalides,Phthalides,,,,MISSING,NOT IN DFINDER — review needed
Phytic Acid,Phytic Acid,762,Phytic Acid,YES,OK,OK — exact match in DFinder
Phytic Acid (Reduced — Fermented),Phytic Acid,762,Phytic Acid,,OK,use Phytic Acid node
Piperine,Piperine,264,Piperine,YES,OK,OK — exact match in DFinder
Plant Protein,Plant Protein,23,Protein,,FUZZY-MATCH,FUZZY → Protein
Potassium,Potassium,22,Potassium,YES,OK,OK — exact match in DFinder
Potassium (Date Paste — High Load),Potassium,22,Potassium,,OK,strip qualifier — use Potassium node
Protein,Protein,23,Protein,,OK,OK — exact match in DFinder
Purines,Purines,799,Purine,,FUZZY-MATCH,FUZZY → Purine
Pyrodextrins+InsolFiber,Pyrodextrins+InsolFiber,,,,INTERNAL-KEY|MISSING,NOT IN DFINDER — review needed
Quercetin,Quercetin,279,Quercetin,YES,OK,OK — exact match in DFinder
Resveratrol,Resveratrol,872,Trans-Resveratrol,,FUZZY-MATCH,FUZZY → Trans-Resveratrol
SCFAs,SCFAs,,,,MISSING,NOT IN DFINDER — review needed
Saponins,Saponins,1046,Saponins,YES,OK,OK — exact match in DFinder
Sat.Fats,Saturated Fats,,,,MISSING,merge duplicate
Saturated Fats,Saturated Fats,,,,MISSING,NOT IN DFINDER — review needed
Saturated Lipids,Saturated Fats,,,,MISSING,merge duplicate
Sesamin,Sesamin,322,Sesame,,FUZZY-MATCH,FUZZY → Sesame
Sesamolin,Sesamolin,1227,Sesamol,YES,FUZZY-MATCH,FUZZY → Sesamol
Shortcrust-FriableMatrix,,,,,INTERNAL-KEY|DROP|MISSING,internal structural key — drop
Sodium Bicarbonate,Sodium Bicarbonate,1663,Sodium Carbonate,,FUZZY-MATCH,FUZZY → Sodium Carbonate
SolFiber,Soluble Fiber,10,Fiber,,FUZZY-MATCH,merge duplicate
Soluble Fiber,Soluble Fiber,,,,MISSING,NOT IN DFINDER — review needed
Soluble Fiber (Pectin),Soluble Fiber,,,,MISSING,use Soluble Fiber node
Sorbitol,Sorbitol,597,Sorbitol,,OK,OK — exact match in DFinder
Sucrose,Sucrose,340,Sucrose,YES,OK,OK — exact match in DFinder
Tannins,Tannins,1339,Betanin,,FUZZY-MATCH,FUZZY → Betanin
Triglycerides (Dietary Fat),Fat,9,Fat,,OK,use Fat node
Tyramine,Tyramine,1179,Thymine,,FUZZY-MATCH,FUZZY → Thymine
Vitamin E,Vitamin E,29,Vitamin E,,OK,OK — exact match in DFinder
Vitamin K,Vitamin K,469,Vitamin K,,OK,OK — exact match in DFinder
W: Amylopectin,Amylopectin,1801,Amylopectin,,INTERNAL-KEY,internal prefix — strip W:
WalnutALA,WalnutALA,,,,MISSING,NOT IN DFINDER — review needed
