food_name,food_id,drug_name,drug_id,verdict
Allicin,1011,flurbiprofen,546,DrugBank-named
Choline,579,lisinopril,732,LIT-confirmed
Choline,579,enalapril,435,LIT-confirmed
Choline,579,ramipril,1092,LIT-confirmed
Choline,579,captopril,198,LIT-confirmed
Choline,579,perindopril,988,LIT-confirmed
Choline,579,atropine,98,LIT-confirmed
Choline,579,oxybutynin,946,LIT-confirmed
Choline,579,ne,1774,LIT-confirmed
Oleuropein,1411,lisinopril,732,LIT-confirmed
Oleuropein,1411,amlodipine,59,LIT-confirmed
Oleuropein,1411,hydrochlorothiazide,604,LIT-confirmed
Oleuropein,1411,metoprolol,818,LIT-confirmed
Oleuropein,1411,losartan,745,LIT-confirmed
Oleuropein,1411,enalapril,435,LIT-confirmed
Oleuropein,1411,ramipril,1092,LIT-confirmed
Oleuropein,1411,captopril,198,LIT-confirmed
Oleuropein,1411,perindopril,988,LIT-confirmed
Oleuropein,1411,cyclosporine,306,LIT-confirmed
Oleuropein,1411,simvastatin,1174,LIT-confirmed
Oleuropein,1411,midazolam,825,LIT-confirmed
Oleuropein,1411,tacrolimus,1224,LIT-confirmed
Allicin,1011,simvastatin,1174,LIT-confirmed
Allicin,1011,midazolam,825,LIT-confirmed
Allicin,1011,tacrolimus,1224,LIT-confirmed
Curcumin,738,warfarin,1396,LIT-confirmed
Curcumin,738,cyclosporine,306,LIT-confirmed
Curcumin,738,simvastatin,1174,LIT-confirmed
Curcumin,738,midazolam,825,LIT-confirmed
Curcumin,738,tacrolimus,1224,LIT-confirmed
Glucobrassicin,630,levothyroxine,722,LIT-confirmed
Glucobrassicin,630,warfarin,1396,LIT-confirmed
Glucobrassicin,630,phenytoin,1004,LIT-confirmed
Glucobrassicin,630,glipizide,588,LIT-confirmed
Glucobrassicin,630,flurbiprofen,546,LIT-confirmed
Glucobrassicin,630,tacrolimus,1224,LIT-confirmed
Amylopectin,1801,tacrolimus,1224,PubMed-NLP
Quercetin,279,insulin,1615,PubMed-NLP
Curcumin,738,levothyroxine,722,PubMed-NLP
Curcumin,738,insulin,1615,PubMed-NLP
Curcumin,738,phenytoin,1004,LIT-confirmed
Curcumin,738,glipizide,588,LIT-confirmed
Curcumin,738,flurbiprofen,546,LIT-confirmed
Allicin,1011,digoxin,378,LIT-confirmed
Vitamin K,469,prednisone,1048,DrugBank-text
Vitamin K,469,digoxin,378,DrugBank-text
Vitamin K,469,warfarin,1396,DrugBank-named
Vitamin K,469,diazepam,363,DrugBank-text
Vitamin K,469,alprazolam,42,DrugBank-text
Vitamin K,469,lorazepam,742,DrugBank-text
W: Amylopectin,1801,statins,1772,PubMed-NLP
W: Amylopectin,1801,cyclosporine,306,PubMed-NLP
W: Amylopectin,1801,simvastatin,1174,PubMed-NLP
W: Amylopectin,1801,atorvastatin,96,PubMed-NLP
Butyric Acid,679,cyclosporine,306,PubMed-NLP
Butyric Acid,679,simvastatin,1174,PubMed-NLP
Butyric Acid,679,atorvastatin,96,PubMed-NLP
Butyric Acid,679,atropine,98,PubMed-NLP
Butyric Acid,679,oxybutynin,946,PubMed-NLP
Butyric Acid,679,ne,1774,PubMed-NLP
Quercetin,279,statins,1772,PubMed-NLP
Quercetin,279,simvastatin,1174,PubMed-NLP
Quercetin,279,atorvastatin,96,PubMed-NLP
Sucrose,340,statins,1772,DrugBank-named
Fructose,514,statins,1772,DrugBank-named
Sucrose,340,cyclosporine,306,DrugBank-named
Fructose,514,cyclosporine,306,DrugBank-named
Sucrose,340,simvastatin,1174,DrugBank-named
Fructose,514,simvastatin,1174,DrugBank-named
Sucrose,340,atorvastatin,96,DrugBank-named
Fructose,514,atorvastatin,96,DrugBank-named
Sucrose,340,warfarin,1396,DrugBank-named
Fructose,514,warfarin,1396,DrugBank-named
Resveratrol,872,insulin,1615,PubMed-NLP
Resveratrol,872,statins,1772,DrugBank-named
Resveratrol,872,cyclosporine,306,DrugBank-named
Resveratrol,872,simvastatin,1174,DrugBank-named
Resveratrol,872,atorvastatin,96,DrugBank-named
Resveratrol,872,warfarin,1396,DrugBank-named
Piperine,264,insulin,1615,PubMed-NLP
Amylose,—,insulin,1615,LIT-confirmed
Amylose,—,tacrolimus,1224,PubMed-NLP
Allicin,1011,clopidogrel,278,DrugBank-named
Allicin,1011,statins,1772,PubMed-NLP
Allicin,1011,atorvastatin,96,PubMed-NLP
Saturated Lipids,9,statins,1772,LIT-confirmed
Saturated Lipids,9,simvastatin,1174,LIT-confirmed
Saturated Lipids,9,atorvastatin,96,LIT-confirmed
Purines,799,febuxostat,496,LIT-confirmed
Phytic Acid,762,fe,1445,LIT-confirmed
Phytic Acid,762,lisinopril,732,LIT-confirmed
Phytic Acid,762,enalapril,435,LIT-confirmed
Phytic Acid,762,ramipril,1092,LIT-confirmed
Phytic Acid,762,captopril,198,LIT-confirmed
Phytic Acid,762,perindopril,988,LIT-confirmed
Cuminaldehyde,1503,ciprofloxacin,258,PubMed-NLP
Cuminaldehyde,1503,levothyroxine,722,PubMed-NLP
Plant Protein,23,levodopa,715,LIT-confirmed
Heme Iron,18,levothyroxine,722,DrugBank-named
Heme Iron,18,t,1824,DrugBank-named
Heme Iron,18,al,1455,DrugBank-named
Sat.Fats,9,levothyroxine,722,PubMed-NLP
Sat.Fats,9,t,1824,PubMed-NLP
Sat.Fats,9,al,1455,PubMed-NLP
Sat.Fats,9,amiodarone,56,PubMed-NLP
Cuminaldehyde,1503,t,1824,PubMed-NLP
Cuminaldehyde,1503,al,1455,PubMed-NLP
Nasunin,47,ferrous sulfate anhydrous,513,LIT-confirmed
Nasunin,47,ferrous sulfate,1786,LIT-confirmed
Nasunin,47,ferrous gluconate,512,LIT-confirmed
Nasunin,47,ferrous fumarate,511,LIT-confirmed
LipidSponge,9,ferrous sulfate anhydrous,513,DrugBank-text
LipidSponge,9,ferrous sulfate,1786,DrugBank-text
LipidSponge,9,ferrous gluconate,512,DrugBank-text
LipidSponge,9,ferrous fumarate,511,DrugBank-text
LipidSponge,9,fe,1445,DrugBank-text
LipidSponge,9,saquinavir,1149,DrugBank-text
LipidSponge,9,digoxin,378,DrugBank-text
Allicin,1011,amiodarone,56,LIT-confirmed
Allicin,1011,fe,1445,LIT-confirmed
Acetic Acid (Vinegar),33,ferrous sulfate anhydrous,513,DrugBank-text
Acetic Acid (Vinegar),33,ferrous sulfate,1786,DrugBank-text
Acetic Acid (Vinegar),33,ferrous gluconate,512,DrugBank-text
Acetic Acid (Vinegar),33,ferrous fumarate,511,DrugBank-text
Acetic Acid (Vinegar),33,warfarin,1396,DrugBank-text
Acetic Acid (Vinegar),33,saquinavir,1149,DrugBank-text
Acetic Acid (Vinegar),33,allopurinol,36,DrugBank-text
Acetic Acid (Vinegar),33,digoxin,378,DrugBank-text
Apigenin,656,furosemide,563,LIT-confirmed
Phthalides,—,furosemide,563,LIT-confirmed
Apigenin,656,hydrochlorothiazide,604,LIT-confirmed
Phthalides,—,hydrochlorothiazide,604,LIT-confirmed
Apigenin,656,torasemide,1308,LIT-confirmed
Phthalides,—,torasemide,1308,LIT-confirmed
Apigenin,656,spironolactone,1201,LIT-confirmed
Phthalides,—,spironolactone,1201,LIT-confirmed
Apigenin,656,lisinopril,732,LIT-confirmed
Phthalides,—,lisinopril,732,LIT-confirmed
Apigenin,656,enalapril,435,LIT-confirmed
Phthalides,—,enalapril,435,LIT-confirmed
Apigenin,656,ramipril,1092,LIT-confirmed
Phthalides,—,ramipril,1092,LIT-confirmed
Apigenin,656,captopril,198,LIT-confirmed
Phthalides,—,captopril,198,LIT-confirmed
Apigenin,656,perindopril,988,LIT-confirmed
Phthalides,—,perindopril,988,LIT-confirmed
Carvone (Caraway/Karouiya),32,codeine,287,LIT-confirmed
Carvone (Caraway/Karouiya),32,tramadol,1312,LIT-confirmed
Carvone (Caraway/Karouiya),32,allopurinol,36,PubMed-NLP
Carvone (Caraway/Karouiya),32,colchicine,289,PubMed-NLP
Purines,799,al,1455,PubMed-NLP
Purines,799,da,1603,PubMed-NLP
Purines,799,metformin,794,PubMed-NLP
Purines,799,levothyroxine,722,PubMed-NLP
Purines,799,ciprofloxacin,258,PubMed-NLP
Purines,799,colchicine,289,LIT-confirmed
Phytic Acid,762,buspirone,174,DrugBank-text
Non-Heme Iron,18,buspirone,174,DrugBank-text
Phytic Acid,762,spironolactone,1201,DrugBank-text
Non-Heme Iron,18,spironolactone,1201,DrugBank-text
Potassium,22,levothyroxine,722,LIT-confirmed
Potassium,22,ciprofloxacin,258,LIT-confirmed
Potassium,22,buspirone,174,DrugBank-named
Potassium,22,spironolactone,1201,DrugBank-named
Citric Acid,536,aluminum hydroxide,45,LIT-confirmed
Citric Acid,536,magnesium hydroxide,2647,LIT-confirmed
Citric Acid,536,ciprofloxacin,258,LIT-confirmed
Citric Acid,536,ferrous sulfate anhydrous,513,LIT-confirmed
Citric Acid,536,ferrous sulfate,1786,LIT-confirmed
Citric Acid,536,ferrous gluconate,512,LIT-confirmed
Citric Acid,536,ferrous fumarate,511,LIT-confirmed
Lecithin,189,insulin,1615,PubMed-NLP
Cholesterol,602,insulin,1615,PubMed-NLP
Lecithin,189,metformin,794,PubMed-NLP
Cholesterol,602,metformin,794,PubMed-NLP
Lecithin,189,cyclosporine,306,PubMed-NLP
Cholesterol,602,cyclosporine,306,PubMed-NLP
Lecithin,189,isotretinoin,666,PubMed-NLP
Cholesterol,602,isotretinoin,666,PubMed-NLP
Lecithin,189,allopurinol,36,PubMed-NLP
Cholesterol,602,allopurinol,36,PubMed-NLP
Purines,799,aluminum hydroxide,45,PubMed-NLP
Purines,799,magnesium hydroxide,2647,PubMed-NLP
Saturated Fats,9,ritonavir,1126,LIT-confirmed
Saturated Fats,9,insulin,1615,DrugBank-text
Saturated Fats,9,metformin,794,DrugBank-text
Saturated Fats,9,levodopa,715,DrugBank-text
Saturated Fats,9,ciprofloxacin,258,DrugBank-text
Saturated Fats,9,tetracycline,1266,DrugBank-text
Saturated Fats,9,doxycycline,405,DrugBank-text
Amylopectin,1801,ritonavir,1126,PubMed-NLP
Large Neutral Amino Acids,511,statins,1772,DrugBank-text
Large Neutral Amino Acids,511,cyclosporine,306,DrugBank-text
Large Neutral Amino Acids,511,atorvastatin,96,DrugBank-text
Large Neutral Amino Acids,511,simvastatin,1174,DrugBank-text
Large Neutral Amino Acids,511,ritonavir,1126,DrugBank-text
Large Neutral Amino Acids,511,insulin,1615,DrugBank-text
Large Neutral Amino Acids,511,metformin,794,DrugBank-text
Large Neutral Amino Acids,511,allopurinol,36,DrugBank-text
Large Neutral Amino Acids,511,levodopa,715,LIT-confirmed
Large Neutral Amino Acids,511,levothyroxine,722,DrugBank-text
Large Neutral Amino Acids,511,warfarin,1396,DrugBank-text
Large Neutral Amino Acids,511,ciprofloxacin,258,DrugBank-text
Large Neutral Amino Acids,511,tetracycline,1266,DrugBank-text
Large Neutral Amino Acids,511,doxycycline,405,DrugBank-text
Iodine,492,statins,1772,DrugBank-text
Omega3,—,statins,1772,DrugBank-text
Iodine,492,cyclosporine,306,DrugBank-text
Omega3,—,cyclosporine,306,DrugBank-text
Iodine,492,atorvastatin,96,DrugBank-text
Omega3,—,atorvastatin,96,DrugBank-text
Iodine,492,simvastatin,1174,DrugBank-text
Omega3,—,simvastatin,1174,DrugBank-text
Iodine,492,ritonavir,1126,DrugBank-text
Omega3,—,ritonavir,1126,DrugBank-text
Iodine,492,insulin,1615,DrugBank-text
Iodine,492,metformin,794,DrugBank-text
Omega3,—,metformin,794,DrugBank-text
Iodine,492,allopurinol,36,DrugBank-text
Omega3,—,allopurinol,36,DrugBank-text
Iodine,492,levodopa,715,DrugBank-text
Omega3,—,levodopa,715,DrugBank-text
Iodine,492,levothyroxine,722,LIT-confirmed
Omega3,—,levothyroxine,722,LIT-confirmed
Iodine,492,warfarin,1396,LIT-confirmed
Omega3,—,warfarin,1396,LIT-confirmed
Iodine,492,ciprofloxacin,258,DrugBank-text
Omega3,—,ciprofloxacin,258,DrugBank-text
Iodine,492,tetracycline,1266,DrugBank-text
Omega3,—,tetracycline,1266,DrugBank-text
Iodine,492,doxycycline,405,DrugBank-text
Omega3,—,doxycycline,405,DrugBank-text
Calcium,2,statins,1772,DrugBank-text
Calcium,2,cyclosporine,306,DrugBank-text
Calcium,2,atorvastatin,96,DrugBank-text
Calcium,2,simvastatin,1174,DrugBank-text
Calcium,2,ritonavir,1126,DrugBank-text
Calcium,2,insulin,1615,DrugBank-text
Calcium,2,metformin,794,DrugBank-text
Calcium,2,allopurinol,36,DrugBank-text
Calcium,2,levodopa,715,DrugBank-text
Calcium,2,levothyroxine,722,LIT-confirmed
Calcium,2,warfarin,1396,LIT-confirmed
Calcium,2,ciprofloxacin,258,LIT-confirmed
Calcium,2,tetracycline,1266,LIT-confirmed
Calcium,2,doxycycline,405,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),509,furosemide,563,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),509,hydrochlorothiazide,604,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),509,torasemide,1308,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),509,spironolactone,1201,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),509,statins,1772,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),509,isotretinoin,666,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),509,simvastatin,1174,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),509,cyclosporine,306,LIT-confirmed
Lecithin,189,statins,1772,PubMed-NLP
Lecithin,189,simvastatin,1174,PubMed-NLP
Limonene,1051,cyclosporine,306,PubMed-NLP
Saturated Fats,9,sildenafil,1168,DrugBank-text
Saturated Fats,9,isosorbide mononitrate,665,DrugBank-text
Saturated Fats,9,nitroglycerin,900,DrugBank-text
Saturated Fats,9,aspirin,1469,DrugBank-text
Saturated Fats,9,clopidogrel,278,DrugBank-text
Saturated Fats,9,lithium,1475,DrugBank-text
Saturated Fats,9,empagliflozin,433,DrugBank-text
Saturated Fats,9,dapagliflozin,322,DrugBank-text
Saturated Fats,9,canagliflozin,190,DrugBank-text
LArginine,512,insulin,1615,PubMed-NLP
Amygdalin,671,insulin,1615,PubMed-NLP
LArginine,512,metformin,794,PubMed-NLP
Amygdalin,671,metformin,794,PubMed-NLP
LArginine,512,statins,1772,PubMed-NLP
Amygdalin,671,statins,1772,PubMed-NLP
LArginine,512,cyclosporine,306,PubMed-NLP
Amygdalin,671,cyclosporine,306,PubMed-NLP
LArginine,512,amiodarone,56,PubMed-NLP
Omega3,—,amiodarone,56,PubMed-NLP
Amygdalin,671,amiodarone,56,PubMed-NLP
LArginine,512,simvastatin,1174,PubMed-NLP
Amygdalin,671,simvastatin,1174,PubMed-NLP
LArginine,512,sildenafil,1168,PubMed-NLP
Omega3,—,sildenafil,1168,PubMed-NLP
Amygdalin,671,sildenafil,1168,PubMed-NLP
LArginine,512,t,1824,PubMed-NLP
Omega3,—,t,1824,PubMed-NLP
Amygdalin,671,t,1824,PubMed-NLP
LArginine,512,isosorbide mononitrate,665,PubMed-NLP
Omega3,—,isosorbide mononitrate,665,PubMed-NLP
Amygdalin,671,isosorbide mononitrate,665,PubMed-NLP
LArginine,512,nitroglycerin,900,PubMed-NLP
Omega3,—,nitroglycerin,900,PubMed-NLP
Amygdalin,671,nitroglycerin,900,PubMed-NLP
LArginine,512,lithium,1475,PubMed-NLP
Omega3,—,lithium,1475,PubMed-NLP
Amygdalin,671,lithium,1475,PubMed-NLP
LArginine,512,digoxin,378,PubMed-NLP
Omega3,—,digoxin,378,PubMed-NLP
Amygdalin,671,digoxin,378,PubMed-NLP
LArginine,512,empagliflozin,433,PubMed-NLP
Omega3,—,empagliflozin,433,PubMed-NLP
Amygdalin,671,empagliflozin,433,PubMed-NLP
LArginine,512,dapagliflozin,322,PubMed-NLP
Omega3,—,dapagliflozin,322,PubMed-NLP
Amygdalin,671,dapagliflozin,322,PubMed-NLP
LArginine,512,canagliflozin,190,PubMed-NLP
Omega3,—,canagliflozin,190,PubMed-NLP
Amygdalin,671,canagliflozin,190,PubMed-NLP
Honey,177,amiodarone,56,LIT-confirmed
Honey,177,sildenafil,1168,DrugBank-text
Honey,177,t,1824,DrugBank-text
Honey,177,isosorbide mononitrate,665,DrugBank-text
Honey,177,nitroglycerin,900,DrugBank-text
Honey,177,aspirin,1469,DrugBank-text
Honey,177,clopidogrel,278,DrugBank-text
Honey,177,diazepam,363,DrugBank-text
Honey,177,alprazolam,42,DrugBank-text
Honey,177,lorazepam,742,DrugBank-text
Linalool,194,insulin,1615,PubMed-NLP
Geraniol,1320,insulin,1615,PubMed-NLP
Linalool,194,metformin,794,PubMed-NLP
Geraniol,1320,metformin,794,PubMed-NLP
Linalool,194,diazepam,363,LIT-confirmed
Geraniol,1320,diazepam,363,LIT-confirmed
Linalool,194,alprazolam,42,LIT-confirmed
Geraniol,1320,alprazolam,42,LIT-confirmed
Linalool,194,lorazepam,742,LIT-confirmed
Geraniol,1320,lorazepam,742,LIT-confirmed
Amylopectin,1801,lisinopril,732,PubMed-NLP
Amylopectin,1801,enalapril,435,PubMed-NLP
Amylopectin,1801,ramipril,1092,PubMed-NLP
Amylopectin,1801,captopril,198,PubMed-NLP
Amylopectin,1801,perindopril,988,PubMed-NLP
Amylopectin,1801,spironolactone,1201,PubMed-NLP
Amylopectin,1801,amiloride,50,PubMed-NLP
Amylopectin,1801,triamterene,1321,PubMed-NLP
Amylopectin,1801,rs,1435,PubMed-NLP
Amylopectin,1801,amlodipine,59,PubMed-NLP
Amylopectin,1801,diltiazem,382,PubMed-NLP
Butyric Acid,679,lisinopril,732,DrugBank-text
Butyric Acid,679,enalapril,435,DrugBank-text
Butyric Acid,679,ramipril,1092,DrugBank-text
Butyric Acid,679,captopril,198,DrugBank-text
Butyric Acid,679,perindopril,988,DrugBank-text
Butyric Acid,679,spironolactone,1201,DrugBank-text
Butyric Acid,679,amiloride,50,DrugBank-text
SCFAs,—,amiloride,50,DrugBank-text
Butyric Acid,679,triamterene,1321,DrugBank-text
SCFAs,—,triamterene,1321,DrugBank-text
Butyric Acid,679,rs,1435,DrugBank-text
SCFAs,—,rs,1435,DrugBank-text
Butyric Acid,679,amlodipine,59,DrugBank-text
SCFAs,—,amlodipine,59,DrugBank-text
Butyric Acid,679,diltiazem,382,DrugBank-text
SCFAs,—,diltiazem,382,DrugBank-text
Butyric Acid,679,warfarin,1396,DrugBank-text
Butyric Acid,679,diazepam,363,DrugBank-text
SCFAs,—,diazepam,363,DrugBank-text
Butyric Acid,679,alprazolam,42,DrugBank-text
SCFAs,—,alprazolam,42,DrugBank-text
Butyric Acid,679,lorazepam,742,DrugBank-text
SCFAs,—,lorazepam,742,DrugBank-text
Potassium,22,amiloride,50,LIT-confirmed
Magnesium,20,amiloride,50,LIT-confirmed
Potassium,22,triamterene,1321,LIT-confirmed
Magnesium,20,triamterene,1321,LIT-confirmed
Potassium,22,rs,1435,LIT-confirmed
Magnesium,20,rs,1435,LIT-confirmed
Potassium,22,amlodipine,59,LIT-confirmed
Magnesium,20,amlodipine,59,LIT-confirmed
Potassium,22,diltiazem,382,LIT-confirmed
Magnesium,20,diltiazem,382,LIT-confirmed
Shortcrust-FriableMatrix,9,lisinopril,732,DrugBank-text
Shortcrust-FriableMatrix,9,enalapril,435,DrugBank-text
Shortcrust-FriableMatrix,9,ramipril,1092,DrugBank-text
Shortcrust-FriableMatrix,9,captopril,198,DrugBank-text
Shortcrust-FriableMatrix,9,perindopril,988,DrugBank-text
