manual_food,manual_food_aliases,matched_cache_foods,has_wrapper_b_result,manual_compound_count,llm_compound_count,overlap_count,manual_only_count,llm_only_count,manual_compounds,llm_compounds,overlap_compounds,manual_only_compounds,llm_only_compounds
rechta,rechta,,False,5,0,0,5,0,amylopectin | cinnamaldehyde | curcumin | glucobrassicin | quercetin,,,amylopectin | cinnamaldehyde | curcumin | glucobrassicin | quercetin,
dolma,dolma,,False,6,0,0,6,0,allicin | amylose | apigenin | cucurbitacin | solanine | vitamin k,,,allicin | amylose | apigenin | cucurbitacin | solanine | vitamin k,
trida (w: white sauce,trida w white sauce,,False,4,0,0,4,0,butyric acid | choline | quercetin | w amylopectin,,,butyric acid | choline | quercetin | w amylopectin,
mesfouf,mesfouf,,False,4,0,0,4,0,amylopectin | butyric acid | resveratrol | sucrose fructose,,,amylopectin | butyric acid | resveratrol | sucrose fructose,
tilitili / tlitli,tilitili | tilitili tlitli | tlitli,,False,4,0,0,4,0,amylopectin | choline | cinnamaldehyde | piperine,,,amylopectin | choline | cinnamaldehyde | piperine,
berkoukes,berkoukes,,False,4,0,0,4,0,amylose amylopectin | capsaicin | curcumin | lycopene,,,amylose amylopectin | capsaicin | curcumin | lycopene,
mthawem / methoum,methoum | mthawem | mthawem methoum,,False,4,0,0,4,0,allicin | cinnamaldehyde | purines | saturated lipids,,,allicin | cinnamaldehyde | purines | saturated lipids,
bouzlouf/chtitha,bouzlouf | bouzlouf chtitha | chtitha,,False,4,0,0,4,0,capsaicin | cuminaldehyde | purines | s allicin,,,capsaicin | cuminaldehyde | purines | s allicin,
doubara (biskria),doubara,,False,5,0,0,5,0,allicin | capsaicin | cuminaldehyde | phytic acid | purines,,,allicin | capsaicin | cuminaldehyde | phytic acid | purines,
garantita/karentica,garantita | garantita karentica | karentica,,False,6,0,0,6,0,capsaicin | cuminaldehyde | non heme fe | phytic acid | plant protein | purines,,,capsaicin | cuminaldehyde | non heme fe | phytic acid | plant protein | purines,
merguez,merguez,,False,4,0,0,4,0,capsaicin | cuminaldehyde | heme iron | sat fats,,,capsaicin | cuminaldehyde | heme iron | sat fats,
mederbel,mederbel,,False,5,0,0,5,0,acetic acid | allicin | lipidsponge | nasunin | purines,,,acetic acid | allicin | lipidsponge | nasunin | purines,
harira,harira,,False,3,0,0,3,0,beta glucan | carvone | purines,,,beta glucan | carvone | purines,
adas,adas,,False,5,0,0,5,0,allicin | cuminaldehyde | non heme iron | phytic acid | potassium,,,allicin | cuminaldehyde | non heme iron | phytic acid | potassium,
chorba bidha,chorba bidha,,False,4,0,0,4,0,cinnamaldehyde | citric acid | phytic acid | purines,,,cinnamaldehyde | citric acid | phytic acid | purines,
bourak jazairi,bourak jazairi,,False,8,0,0,8,0,acrylamide | amylopectin | calcium | iodine | large neutral amino acids | omega3 | purines | saturated fats,,,acrylamide | amylopectin | calcium | iodine | large neutral amino acids | omega3 | purines | saturated fats,
zlabia,zlabia,,False,1,0,0,1,0,limonene,,,limonene,
baklawa,baklawa,,False,7,0,0,7,0,amygdalin | gelatinisedstarch | honey | laminatedgluten | larginine | omega3 | saturated fats,,,amygdalin | gelatinisedstarch | honey | laminatedgluten | larginine | omega3 | saturated fats,
makroud el-koucha,makroud el koucha,,False,3,0,0,3,0,amylopectin | butyric acid scfas | linalool,,,amylopectin | butyric acid scfas | linalool,
tcharak (a=aryan/b=meskar),b meskar | tcharak | tcharak a aryan,,False,7,0,0,7,0,albumin | larginine | limonene | linalool | mg2 | protein | shortcrust friablematrix,,,albumin | larginine | limonene | linalool | mg2 | protein | shortcrust friablematrix,
tamina,tamina,,False,5,0,0,5,0,butter emulsion | pyrodextrins | sesamin | sesamolin | sucrose icing sugar,,,butter emulsion | pyrodextrins | sesamin | sesamolin | sucrose icing sugar,
douwara / bakbouka,bakbouka | douwara | douwara bakbouka,,False,7,0,0,7,0,allicin | curcumin | gingerol | lycopene | phytic acid | potassium | purines,,,allicin | curcumin | gingerol | lycopene | phytic acid | potassium | purines,
hommos,hommos,,False,6,0,0,6,0,cuminaldehyde | nonhemeiron | olive oil | phytic acid | purines | sodium bicarbonate,,,cuminaldehyde | nonhemeiron | olive oil | phytic acid | purines | sodium bicarbonate,
loubia,loubia,,False,8,0,0,8,0,allicin | beta carotene | cuminaldehyde | phaseolamin | phytic acid | potassium | purines | saponins,,,allicin | beta carotene | cuminaldehyde | phaseolamin | phytic acid | potassium | purines | saponins,
dchicha with klila,dchicha with klila,,False,5,0,0,5,0,beta glucan | calcium | na | saturated fats | tyramine,,,beta glucan | calcium | na | saturated fats | tyramine,
hmiss,hmiss,,False,4,0,0,4,0,allicin | capsaicin | lycopene | oleic acid,,,allicin | capsaicin | lycopene | oleic acid,
brik,brik,,False,6,0,0,6,0,acrylamide | choline | cuminaldehyde | lecithin | purines | saturated fats,,,acrylamide | choline | cuminaldehyde | lecithin | purines | saturated fats,
mhadjeb (a=spicy/b=plain),b plain | mhadjeb | mhadjeb a spicy,,False,6,0,0,6,0,allicin | amylopectin | capsaicin | lycopene | quercetin | triglycerides,,,allicin | amylopectin | capsaicin | lycopene | quercetin | triglycerides,
baghrir,baghrir,,False,4,0,0,4,0,amylopectin | butyric acid scfas | co2 | sucrose glucose,,,amylopectin | butyric acid scfas | co2 | sucrose glucose,
matlouh,matlouh,,False,5,0,0,5,0,amylopectin | co2 | hydrationmatrix | na | phytic acid,,,amylopectin | co2 | hydrationmatrix | na | phytic acid,
mbessas,mbessas,,False,4,0,0,4,0,amylopectin | densematrix | lipid | maillard ages,,,amylopectin | densematrix | lipid | maillard ages,
ftir,ftir,ftir,True,4,0,0,4,0,amylopectin | na | triglycerides | zerofermentation,,,amylopectin | na | triglycerides | zerofermentation,
bradj,bradj,,False,6,0,0,6,0,cinnamaldehyde | eugenol | lignans | linalool | omega3 | potassium,,,cinnamaldehyde | eugenol | lignans | linalool | omega3 | potassium,
shbah el-safra,shbah el safra,,False,7,0,0,7,0,crocin | l arginine | potassium | safranal | sorbitol | sucrose glucose | vitamin e,,,crocin | l arginine | potassium | safranal | sorbitol | sucrose glucose | vitamin e,
dziriyet,dziriyet,,False,8,0,0,8,0,albumin | benzaldehyde | choline | fructose | glucose | pacs | resveratrol | sucrose,,,albumin | benzaldehyde | choline | fructose | glucose | pacs | resveratrol | sucrose,
kaak nakach,kaak nakach,,False,6,0,0,6,0,co | insoluble fiber | linalool | lipidcoatedstarch | potassium | sodium bicarbonate,,,co | insoluble fiber | linalool | lipidcoatedstarch | potassium | sodium bicarbonate,
taminat l-ghars,taminat l ghars,,False,6,0,0,6,0,butter | grain starch | honey | insolfiber | potassium | pyrodextrins,,,butter | grain starch | honey | insolfiber | potassium | pyrodextrins,
qtayef,qtayef,,False,5,0,0,5,0,ellagitannins | fructoseglucose | linalool | sha ra strands | walnutala,,,ellagitannins | fructoseglucose | linalool | sha ra strands | walnutala,
griwech,griwech,,False,7,0,0,7,0,3mm | braidedlattice | honey synergy | linalool | maillard | sesamin | sesamolin,,,3mm | braidedlattice | honey synergy | linalool | maillard | sesamin | sesamolin,
mhancha,mhancha,,False,3,0,0,3,0,l arginine | niacin | oxidised lipids,,,l arginine | niacin | oxidised lipids,
chou-fleur,chou fleur,,False,6,0,0,6,0,allicin | amylopectin | cuminaldehyde | i3c | lycopene | potassium,,,allicin | amylopectin | cuminaldehyde | i3c | lycopene | potassium,
batata red sauce,batata red sauce,,False,6,0,0,6,0,allicin | apigenin | cuminaldehyde | gelatinised starch | potassium | quercetin,,,allicin | apigenin | cuminaldehyde | gelatinised starch | potassium | quercetin,
batata bel-jelbana,batata bel jelbana,,False,7,0,0,7,0,allicin | amylose | cinnamaldehyde | essaa | leucine | piperine | saponins,,,allicin | amylose | cinnamaldehyde | essaa | leucine | piperine | saponins,
la soupe (veg+redlentil),la soupe,,False,8,0,0,8,0,allicin lateadd | beta carotene | curcumin | folate | gingerol | minerals | piperine | soluble fiber,,,allicin lateadd | beta carotene | curcumin | folate | gingerol | minerals | piperine | soluble fiber,
djelbana b'garnon,djelbana b garnon,,False,7,0,0,7,0,cynarin | gelatin | gelatinisedflour | inositol | leucine | silymarin | solfiber,,,cynarin | gelatin | gelatinisedflour | inositol | leucine | silymarin | solfiber,
fritte omelette,fritte omelette,,False,7,0,0,7,0,acrylamidemaillard | cck | choline | leucine | lutein | oxidisedlipids | starchlipid,,,acrylamidemaillard | cck | choline | leucine | lutein | oxidisedlipids | starchlipid,
