manual_food,source,compound,in_foodb_vocab,in_wrapper_for_this_food,in_manual_for_this_food
tamina,manual,sesamin,True,False,
tamina,manual,sesamolin,True,False,
tamina,manual,sucrose icing sugar,False,False,
douwara / bakbouka,manual,allicin,True,False,
douwara / bakbouka,manual,curcumin,True,False,
douwara / bakbouka,manual,gingerol,False,False,
douwara / bakbouka,manual,lycopene,True,False,
douwara / bakbouka,manual,phytic acid,True,False,
douwara / bakbouka,manual,potassium,True,False,
douwara / bakbouka,manual,purines,False,False,
hommos,manual,cuminaldehyde,True,False,
hommos,manual,nonhemeiron,False,False,
hommos,manual,olive oil,False,False,
hommos,manual,phytic acid,True,False,
hommos,manual,purines,False,False,
hommos,manual,sodium bicarbonate,False,False,
loubia,manual,allicin,True,False,
loubia,manual,beta carotene,True,False,
loubia,manual,cuminaldehyde,True,False,
loubia,manual,phaseolamin,False,False,
loubia,manual,phytic acid,True,False,
loubia,manual,potassium,True,False,
loubia,manual,purines,False,False,
loubia,manual,saponins,True,False,
dchicha with klila,manual,beta glucan,True,False,
dchicha with klila,manual,calcium,True,False,
dchicha with klila,manual,na,False,False,
dchicha with klila,manual,saturated fats,False,False,
dchicha with klila,manual,tyramine,False,False,
hmiss,manual,allicin,True,False,
hmiss,manual,capsaicin,True,False,
hmiss,manual,lycopene,True,False,
hmiss,manual,oleic acid,True,False,
brik,manual,acrylamide,True,False,
brik,manual,choline,True,False,
brik,manual,cuminaldehyde,True,False,
brik,manual,lecithin,False,False,
brik,manual,purines,False,False,
brik,manual,saturated fats,False,False,
mhadjeb (a=spicy/b=plain),manual,allicin,True,False,
mhadjeb (a=spicy/b=plain),manual,amylopectin,True,False,
mhadjeb (a=spicy/b=plain),manual,capsaicin,True,False,
mhadjeb (a=spicy/b=plain),manual,lycopene,True,False,
mhadjeb (a=spicy/b=plain),manual,quercetin,True,False,
mhadjeb (a=spicy/b=plain),manual,triglycerides,False,False,
baghrir,manual,amylopectin,True,False,
baghrir,manual,butyric acid scfas,False,False,
baghrir,manual,co2,False,False,
baghrir,manual,sucrose glucose,False,False,
matlouh,manual,amylopectin,True,False,
matlouh,manual,co2,False,False,
matlouh,manual,hydrationmatrix,False,False,
matlouh,manual,na,False,False,
matlouh,manual,phytic acid,True,False,
mbessas,manual,amylopectin,True,False,
mbessas,manual,densematrix,False,False,
mbessas,manual,lipid,False,False,
mbessas,manual,maillard ages,False,False,
ftir,manual,amylopectin,True,False,
ftir,manual,na,False,False,
ftir,manual,triglycerides,False,False,
ftir,manual,zerofermentation,False,False,
bradj,manual,cinnamaldehyde,True,False,
bradj,manual,eugenol,True,False,
bradj,manual,lignans,True,False,
bradj,manual,linalool,True,False,
bradj,manual,omega3,False,False,
bradj,manual,potassium,True,False,
shbah el-safra,manual,crocin,True,False,
shbah el-safra,manual,l arginine,False,False,
shbah el-safra,manual,potassium,True,False,
shbah el-safra,manual,safranal,True,False,
shbah el-safra,manual,sorbitol,False,False,
shbah el-safra,manual,sucrose glucose,False,False,
shbah el-safra,manual,vitamin e,False,False,
dziriyet,manual,albumin,True,False,
dziriyet,manual,benzaldehyde,True,False,
dziriyet,manual,choline,True,False,
dziriyet,manual,fructose,False,False,
dziriyet,manual,glucose,True,False,
dziriyet,manual,pacs,False,False,
dziriyet,manual,resveratrol,True,False,
dziriyet,manual,sucrose,True,False,
kaak nakach,manual,co,False,False,
kaak nakach,manual,insoluble fiber,False,False,
kaak nakach,manual,linalool,True,False,
kaak nakach,manual,lipidcoatedstarch,False,False,
kaak nakach,manual,potassium,True,False,
kaak nakach,manual,sodium bicarbonate,False,False,
taminat l-ghars,manual,butter,False,False,
taminat l-ghars,manual,grain starch,False,False,
taminat l-ghars,manual,honey,False,False,
taminat l-ghars,manual,insolfiber,False,False,
taminat l-ghars,manual,potassium,True,False,
taminat l-ghars,manual,pyrodextrins,False,False,
qtayef,manual,ellagitannins,False,False,
qtayef,manual,fructoseglucose,False,False,
qtayef,manual,linalool,True,False,
qtayef,manual,sha ra strands,False,False,
qtayef,manual,walnutala,False,False,
griwech,manual,3mm,False,False,
griwech,manual,braidedlattice,False,False,
griwech,manual,honey synergy,False,False,
griwech,manual,linalool,True,False,
griwech,manual,maillard,False,False,
griwech,manual,sesamin,True,False,
griwech,manual,sesamolin,True,False,
mhancha,manual,l arginine,False,False,
mhancha,manual,niacin,False,False,
mhancha,manual,oxidised lipids,False,False,
chou-fleur,manual,allicin,True,False,
chou-fleur,manual,amylopectin,True,False,
chou-fleur,manual,cuminaldehyde,True,False,
chou-fleur,manual,i3c,False,False,
chou-fleur,manual,lycopene,True,False,
chou-fleur,manual,potassium,True,False,
batata red sauce,manual,allicin,True,False,
batata red sauce,manual,apigenin,True,False,
batata red sauce,manual,cuminaldehyde,True,False,
batata red sauce,manual,gelatinised starch,False,False,
batata red sauce,manual,potassium,True,False,
batata red sauce,manual,quercetin,True,False,
batata bel-jelbana,manual,allicin,True,False,
batata bel-jelbana,manual,amylose,True,False,
batata bel-jelbana,manual,cinnamaldehyde,True,False,
batata bel-jelbana,manual,essaa,False,False,
batata bel-jelbana,manual,leucine,True,False,
batata bel-jelbana,manual,piperine,True,False,
batata bel-jelbana,manual,saponins,True,False,
la soupe (veg+redlentil),manual,allicin lateadd,False,False,
la soupe (veg+redlentil),manual,beta carotene,True,False,
la soupe (veg+redlentil),manual,curcumin,True,False,
la soupe (veg+redlentil),manual,folate,False,False,
la soupe (veg+redlentil),manual,gingerol,False,False,
la soupe (veg+redlentil),manual,minerals,False,False,
la soupe (veg+redlentil),manual,piperine,True,False,
la soupe (veg+redlentil),manual,soluble fiber,False,False,
djelbana b'garnon,manual,cynarin,False,False,
djelbana b'garnon,manual,gelatin,True,False,
djelbana b'garnon,manual,gelatinisedflour,False,False,
djelbana b'garnon,manual,inositol,False,False,
djelbana b'garnon,manual,leucine,True,False,
djelbana b'garnon,manual,silymarin,False,False,
djelbana b'garnon,manual,solfiber,False,False,
fritte omelette,manual,acrylamidemaillard,False,False,
fritte omelette,manual,cck,False,False,
fritte omelette,manual,choline,True,False,
fritte omelette,manual,leucine,True,False,
fritte omelette,manual,lutein,True,False,
fritte omelette,manual,oxidisedlipids,False,False,
fritte omelette,manual,starchlipid,False,False,
