drug_name,food_name,layer0_fired,layer0_rule,layer0_severity
statins,Quercetin,False,,
statins,Sucrose,False,,
statins,D-Fructose,False,,
cyclosporine,Sucrose,False,,
cyclosporine,D-Fructose,False,,
insulin,Trans-Resveratrol,False,,
statins,Trans-Resveratrol,False,,
cyclosporine,Trans-Resveratrol,False,,
atorvastatin,Trans-Resveratrol,False,,
insulin,Piperine,False,,
insulin,Starch,False,,
tacrolimus,Starch,False,,
clopidogrel,Allicin,False,,
statins,Allicin,False,,
atorvastatin,Allicin,False,,
statins,Fat,False,,
simvastatin,Fat,False,,
atorvastatin,Fat,False,,
fe,Phytic Acid,False,,
lisinopril,Phytic Acid,False,,
enalapril,Phytic Acid,False,,
ramipril,Phytic Acid,False,,
captopril,Phytic Acid,False,,
perindopril,Phytic Acid,False,,
levothyroxine,Cuminaldehyde,False,,
t,Iron,False,,
al,Iron,False,,
levothyroxine,Fat,True,CHELATION_RISK,MEDIUM
t,Fat,False,,
al,Fat,False,,
amiodarone,Fat,False,,
t,Cuminaldehyde,False,,
al,Cuminaldehyde,False,,
ferrous sulfate anhydrous,Anthocyanins,False,,
ferrous sulfate,Anthocyanins,False,,
ferrous gluconate,Anthocyanins,False,,
ferrous fumarate,Anthocyanins,False,,
ferrous sulfate,Fat,True,CHELATION_RISK,MEDIUM
ferrous gluconate,Fat,True,CHELATION_RISK,MEDIUM
ferrous fumarate,Fat,True,CHELATION_RISK,MEDIUM
fe,Fat,True,CHELATION_RISK,MEDIUM
saquinavir,Fat,False,,
digoxin,Fat,True,CHELATION_RISK,MEDIUM
amiodarone,Allicin,False,,
fe,Allicin,False,,
ferrous sulfate anhydrous,Acetic Acid,False,,
ferrous sulfate,Acetic Acid,False,,
ferrous gluconate,Acetic Acid,False,,
ferrous fumarate,Acetic Acid,False,,
warfarin,Acetic Acid,False,,
saquinavir,Acetic Acid,False,,
allopurinol,Acetic Acid,False,,
digoxin,Acetic Acid,False,,
furosemide,Apigenin,False,,
hydrochlorothiazide,Apigenin,False,,
torasemide,Apigenin,False,,
spironolactone,Apigenin,False,,
lisinopril,Apigenin,False,,
enalapril,Apigenin,False,,
ramipril,Apigenin,False,,
captopril,Apigenin,False,,
perindopril,Apigenin,False,,
codeine,Carvone,False,,
tramadol,Carvone,False,,
allopurinol,Carvone,False,,
colchicine,Carvone,False,,
al,Purine,False,,
da,Purine,False,,
metformin,Purine,False,,
levothyroxine,Purine,False,,
ciprofloxacin,Purine,False,,
colchicine,Purine,False,,
buspirone,Phytic Acid,False,,
buspirone,Iron,False,,
spironolactone,Phytic Acid,False,,
aluminum hydroxide,Citric Acid,False,,
magnesium hydroxide,Citric Acid,False,,
ferrous sulfate anhydrous,Citric Acid,False,,
ferrous sulfate,Citric Acid,False,,
ferrous gluconate,Citric Acid,False,,
ferrous fumarate,Citric Acid,False,,
insulin,Soy Lecithin,False,,
insulin,Cholesterol,False,,
metformin,Soy Lecithin,False,,
cyclosporine,Soy Lecithin,True,POTASSIUM_OVERLOAD,HIGH
isotretinoin,Soy Lecithin,True,CHELATION_RISK,HIGH
allopurinol,Soy Lecithin,False,,
allopurinol,Cholesterol,False,,
aluminum hydroxide,Purine,False,,
magnesium hydroxide,Purine,False,,
ritonavir,Fat,False,,
insulin,Fat,False,,
metformin,Fat,False,,
levodopa,Fat,True,CHELATION_RISK,MEDIUM
ciprofloxacin,Fat,True,CHELATION_RISK,MEDIUM
tetracycline,Fat,True,CHELATION_RISK,MEDIUM
doxycycline,Fat,True,CHELATION_RISK,MEDIUM
ritonavir,Amylopectin,False,,
statins,L-Leucine,False,,
cyclosporine,L-Leucine,True,POTASSIUM_OVERLOAD,MEDIUM
ritonavir,L-Leucine,False,,
insulin,L-Leucine,False,,
allopurinol,L-Leucine,False,,
levodopa,L-Leucine,True,CHELATION_RISK,MEDIUM
levothyroxine,L-Leucine,True,CHELATION_RISK,MEDIUM
statins,Iodine,False,,
statins,Alpha-Linolenic Acid,False,,
cyclosporine,Iodine,False,,
cyclosporine,Alpha-Linolenic Acid,False,,
atorvastatin,Iodine,False,,
atorvastatin,Alpha-Linolenic Acid,False,,
simvastatin,Iodine,False,,
simvastatin,Alpha-Linolenic Acid,False,,
ritonavir,Iodine,False,,
ritonavir,Alpha-Linolenic Acid,False,,
insulin,Iodine,False,,
metformin,Alpha-Linolenic Acid,False,,
allopurinol,Iodine,False,,
allopurinol,Alpha-Linolenic Acid,False,,
levodopa,Iodine,False,,
levodopa,Alpha-Linolenic Acid,False,,
levothyroxine,Alpha-Linolenic Acid,False,,
warfarin,Iodine,False,,
ciprofloxacin,Iodine,False,,
ciprofloxacin,Alpha-Linolenic Acid,False,,
tetracycline,Iodine,False,,
tetracycline,Alpha-Linolenic Acid,False,,
doxycycline,Alpha-Linolenic Acid,False,,
statins,Calcium,False,,
insulin,Calcium,False,,
levodopa,Calcium,False,,
torasemide,Glucose,False,,
statins,Glucose,False,,
isotretinoin,Glucose,False,,
statins,Soy Lecithin,False,,
simvastatin,Soy Lecithin,False,,
cyclosporine,Limonene,False,,
isosorbide mononitrate,Fat,False,,
nitroglycerin,Fat,False,,
aspirin,Fat,False,,
clopidogrel,Fat,False,,
lithium,Fat,True,CHELATION_RISK,MEDIUM
empagliflozin,Fat,False,,
dapagliflozin,Fat,False,,
canagliflozin,Fat,False,,
insulin,Arginine,False,,
insulin,Amygdalin,False,,
metformin,Amygdalin,False,,
statins,Arginine,False,,
statins,Amygdalin,False,,
cyclosporine,Arginine,False,,
cyclosporine,Amygdalin,False,,
amiodarone,Alpha-Linolenic Acid,False,,
amiodarone,Amygdalin,False,,
simvastatin,Amygdalin,False,,
sildenafil,Alpha-Linolenic Acid,False,,
sildenafil,Amygdalin,False,,
t,Arginine,False,,
t,Alpha-Linolenic Acid,False,,
t,Amygdalin,False,,
isosorbide mononitrate,Arginine,False,,
isosorbide mononitrate,Alpha-Linolenic Acid,False,,
isosorbide mononitrate,Amygdalin,False,,
nitroglycerin,Alpha-Linolenic Acid,False,,
nitroglycerin,Amygdalin,False,,
lithium,Arginine,False,,
lithium,Alpha-Linolenic Acid,False,,
lithium,Amygdalin,False,,
digoxin,Alpha-Linolenic Acid,False,,
digoxin,Amygdalin,False,,
empagliflozin,Alpha-Linolenic Acid,False,,
empagliflozin,Amygdalin,False,,
dapagliflozin,Arginine,False,,
dapagliflozin,Alpha-Linolenic Acid,False,,
dapagliflozin,Amygdalin,False,,
canagliflozin,Arginine,False,,
canagliflozin,Alpha-Linolenic Acid,False,,
canagliflozin,Amygdalin,False,,
amiodarone,Honey,False,,
sildenafil,Honey,False,,
t,Honey,False,,
isosorbide mononitrate,Honey,False,,
aspirin,Honey,False,,
clopidogrel,Honey,False,,
diazepam,Honey,False,,
alprazolam,Honey,False,,
lorazepam,Honey,False,,
insulin,Linalool,False,,
insulin,Geraniol,False,,
metformin,Linalool,False,,
metformin,Geraniol,False,,
diazepam,Geraniol,False,,
alprazolam,Linalool,False,,
alprazolam,Geraniol,False,,
lorazepam,Linalool,False,,
lorazepam,Geraniol,False,,
lisinopril,Amylopectin,False,,
enalapril,Amylopectin,False,,
ramipril,Amylopectin,False,,
captopril,Amylopectin,False,,
perindopril,Amylopectin,False,,
spironolactone,Amylopectin,False,,
amiloride,Amylopectin,False,,
triamterene,Amylopectin,False,,
rs,Amylopectin,False,,
amlodipine,Amylopectin,False,,
diltiazem,Amylopectin,False,,
lisinopril,Butyric Acid,False,,
enalapril,Butyric Acid,False,,
ramipril,Butyric Acid,False,,
captopril,Butyric Acid,False,,
perindopril,Butyric Acid,False,,
spironolactone,Butyric Acid,False,,
amiloride,Butyric Acid,False,,
triamterene,Butyric Acid,False,,
rs,Butyric Acid,False,,
amlodipine,Butyric Acid,False,,
diltiazem,Butyric Acid,False,,
warfarin,Butyric Acid,False,,
diazepam,Butyric Acid,False,,
alprazolam,Butyric Acid,False,,
lorazepam,Butyric Acid,False,,
amiloride,Magnesium,False,,
triamterene,Magnesium,False,,
rs,Potassium,False,,
rs,Magnesium,False,,
amlodipine,Magnesium,False,,
diltiazem,Magnesium,False,,
fe,Arginine,False,,
fe,Magnesium,False,,
enalapril,Magnesium,False,,
ramipril,Magnesium,False,,
perindopril,Arginine,False,,
metformin,Protein,False,,
insulin,Protein,False,,
statins,Protein,False,,
cyclosporine,Protein,False,,
simvastatin,Protein,False,,
fe,Protein,False,,
lisinopril,Protein,False,,
enalapril,Protein,False,,
ramipril,Protein,False,,
captopril,Protein,False,,
perindopril,Protein,False,,
sildenafil,Protein,False,,
t,Protein,False,,
nitroglycerin,Protein,False,,
diazepam,Protein,False,,
alprazolam,Protein,False,,
lorazepam,Protein,False,,
midazolam,Protein,False,,
tacrolimus,Protein,False,,
statins,Limonene,False,,
statins,Linalool,False,,
cyclosporine,Linalool,False,,
simvastatin,Limonene,False,,
simvastatin,Linalool,False,,
fe,Limonene,False,,
fe,Linalool,False,,
codeine,Fat,False,,
tamoxifen,Fat,False,,
metoprolol,Fat,False,,
estradiol,Fat,False,,
progesterone,Fat,True,CHELATION_RISK,MEDIUM
conjugated estrogens,Fat,False,,
omeprazole,Fat,False,,
lansoprazole,Fat,False,,
erythromycin,Fat,False,,
clarithromycin,Fat,False,,
metformin,Sesame,False,,
insulin,Sesame,False,,
empagliflozin,Sesame,False,,
dapagliflozin,Sesame,False,,
canagliflozin,Sesame,False,,
statins,Sesame,False,,
cyclosporine,Sesame,True,POTASSIUM_OVERLOAD,HIGH
isotretinoin,Sesame,True,CHELATION_RISK,HIGH
simvastatin,Sesame,False,,
orlistat,Sesame,False,,
codeine,Sesame,False,,
tamoxifen,Sesame,False,,
metoprolol,Sesame,False,,
estradiol,Sesame,False,,
conjugated estrogens,Sesame,False,,
conjugated estrogens,Sucrose,False,,
omeprazole,Sucrose,False,,
lansoprazole,Sucrose,False,,
erythromycin,Sucrose,False,,
clarithromycin,Sucrose,False,,
allopurinol,Potassium,False,,
ferrous sulfate anhydrous,Potassium,False,,
ferrous sulfate,Potassium,False,,
ferrous fumarate,Potassium,False,,
aspirin,Allicin,False,,
aspirin,Ginger,False,,
aspirin,Curcumin,False,,
cyclosporine,Ginger,False,,
simvastatin,Ginger,False,,
midazolam,Ginger,False,,
statins,Ginger,False,,
statins,Curcumin,False,,
iron,Phytic Acid,False,,
zinc sulfate,Phytic Acid,False,,
t,Phytic Acid,False,,
al,Phytic Acid,False,,
cm,Purine,False,,
aspirin,Purine,False,,
omeprazole,Purine,False,,
diclofenac,Purine,False,,
ferrous sulfate,Iron,False,,
zinc sulfate,Iron,False,,
iron,Potassium,False,,
ciprofloxacin,Carotene,False,,
iron,Carotene,False,,
ferrous sulfate anhydrous,Carotene,False,,
ferrous sulfate,Carotene,False,,
zinc sulfate,Carotene,False,,
acarbose,Carotene,False,,
lisinopril,Carotene,False,,
enalapril,Carotene,False,,
ramipril,Carotene,False,,
captopril,Carotene,False,,
perindopril,Carotene,False,,
buspirone,Carotene,False,,
spironolactone,Carotene,False,,
allopurinol,Carotene,False,,
colchicine,Carotene,False,,
cyclosporine,Carotene,False,,
midazolam,Carotene,False,,
tacrolimus,Carotene,False,,
statins,Carotene,False,,
warfarin,Carotene,False,,
phenytoin,Carotene,False,,
glipizide,Carotene,False,,
flurbiprofen,Carotene,False,,
retinol,Carotene,False,,
t,Calcium,False,,
al,Calcium,False,,
tetracycline,Tyramine-Containing Foods,False,,
tetracycline,Na+,False,,
t,Tyramine-Containing Foods,False,,
t,Na+,False,,
doxycycline,Tyramine-Containing Foods,False,,
doxycycline,Na+,False,,
al,Tyramine-Containing Foods,False,,
al,Na+,False,,
phenelzine,Na+,False,,
tranylcypromine,Na+,False,,
isocarboxazid,Na+,False,,
selegiline,Na+,False,,
lisinopril,Tyramine-Containing Foods,False,,
lisinopril,Na+,False,,
amlodipine,Tyramine-Containing Foods,False,,
amlodipine,Na+,False,,
hydrochlorothiazide,Tyramine-Containing Foods,True,ACID_ABSORPTION_RISK,MEDIUM
hydrochlorothiazide,Na+,False,,
metoprolol,Tyramine-Containing Foods,False,,
metoprolol,Na+,False,,
losartan,Tyramine-Containing Foods,False,,
losartan,Na+,False,,
phenelzine,Fat,True,CHELATION_RISK,MEDIUM
tranylcypromine,Fat,True,CHELATION_RISK,MEDIUM
isocarboxazid,Fat,True,CHELATION_RISK,MEDIUM
selegiline,Fat,True,CHELATION_RISK,MEDIUM
amlodipine,Fat,False,,
hydrochlorothiazide,Fat,True,CHELATION_RISK,MEDIUM
losartan,Fat,False,,
amlodipine,Capsaicin,False,,
hydrochlorothiazide,Capsaicin,False,,
metoprolol,Capsaicin,False,,
lisinopril,Vitamin C,False,,
lisinopril,Flavonoids,False,,
ramipril,Flavonoids,False,,
captopril,Vitamin C,False,,
captopril,Flavonoids,False,,
perindopril,Vitamin C,False,,
perindopril,Flavonoids,False,,
ferrous sulfate anhydrous,Flavonoids,False,,
ferrous sulfate,Vitamin C,False,,
ferrous sulfate,Flavonoids,False,,
ferrous gluconate,Flavonoids,False,,
ferrous fumarate,Flavonoids,False,,
amlodipine,Flavonoids,False,,
hydrochlorothiazide,Flavonoids,False,,
metoprolol,Vitamin C,False,,
metoprolol,Flavonoids,False,,
aspirin,Flavonoids,False,,
statins,Vitamin C,False,,
statins,Flavonoids,False,,
isotretinoin,Vitamin C,False,,
isotretinoin,Flavonoids,False,,
amlodipine,Allicin,False,,
hydrochlorothiazide,Allicin,False,,
metoprolol,Allicin,False,,
isotretinoin,Allicin,False,,
atropine,Fat,False,,
oxybutynin,Fat,False,,
ne,Fat,False,,
colchicine,Fat,False,,
phenytoin,Fat,True,CHELATION_RISK,MEDIUM
glipizide,Fat,False,,
flurbiprofen,Fat,False,,
paracetamol,Fat,False,,
ethanol,Fat,False,,
acetaminophen,Fat,False,,
statins,Choline,False,,
isotretinoin,Choline,False,,
atorvastatin,Soy Lecithin,False,,
atorvastatin,Choline,False,,
simvastatin,Choline,False,,
ritonavir,Soy Lecithin,False,,
ritonavir,Choline,False,,
allopurinol,Choline,False,,
colchicine,Soy Lecithin,False,,
paracetamol,Soy Lecithin,False,,
paracetamol,Choline,False,,
ethanol,Soy Lecithin,False,,
ethanol,Choline,False,,
acetaminophen,Soy Lecithin,False,,
acetaminophen,Choline,False,,
acarbose,Amylopectin,False,,
metformin,Allicin,False,,
acarbose,Allicin,False,,
lisinopril,Quercetin,False,,
amlodipine,Quercetin,False,,
hydrochlorothiazide,Quercetin,False,,
losartan,Allicin,False,,
clopidogrel,Quercetin,False,,
acarbose,Fat,False,,
cholestyramine,Sucrose,False,,
colestipol,Sucrose,False,,
colestipol,Glucose,False,,
metoclopramide,Butyric Acid,False,,
domperidone,Butyric Acid,False,,
cholestyramine,Butyric Acid,False,,
colestipol,Butyric Acid,False,,
ure,Amylopectin,False,,
lansoprazole,Na+,False,,
erythromycin,Na+,False,,
clarithromycin,Na+,False,,
furosemide,Na+,False,,
torasemide,Na+,False,,
spironolactone,Na+,False,,
furosemide,Phytic Acid,False,,
hydrochlorothiazide,Phytic Acid,False,,
torasemide,Phytic Acid,False,,
amlodipine,Phytic Acid,False,,
metoprolol,Phytic Acid,False,,
griseofulvin,Amylopectin,False,,
fe,Amylopectin,False,,
levothyroxine,Amylopectin,False,,
warfarin,Amylopectin,False,,
ciprofloxacin,Amylopectin,False,,
furosemide,Fat,False,,
torasemide,Fat,False,,
spironolactone,Fat,True,CHELATION_RISK,MEDIUM
ketoconazole,Fat,True,CHELATION_RISK,MEDIUM
itraconazole,Fat,False,,
enalapril,Na+,False,,
ramipril,Na+,False,,
captopril,Na+,False,,
perindopril,Na+,False,,
t,Potassium,False,,
triamterene,Fat,True,CHELATION_RISK,MEDIUM
triamterene,Oleic Acid,False,,
haloperidol,Fat,False,,
haloperidol,Oleic Acid,False,,
haloperidol,Alpha-Linolenic Acid,False,,
codeine,Oleic Acid,False,,
tamoxifen,Oleic Acid,False,,
spironolactone,Arginine,False,,
spironolactone,Vitamin E,False,,
amiloride,Vitamin E,False,,
triamterene,Arginine,False,,
triamterene,Vitamin E,False,,
isotretinoin,Arginine,False,,
isotretinoin,Vitamin E,False,,
phenelzine,Vitamin E,False,,
tranylcypromine,Arginine,False,,
tranylcypromine,Vitamin E,False,,
isocarboxazid,Vitamin E,False,,
selegiline,Vitamin E,False,,
fluoxetine,Vitamin E,False,,
sertraline,Vitamin E,False,,
isotretinoin,Sucrose,False,,
tranylcypromine,Sucrose,False,,
tranylcypromine,Glucose,False,,
sertraline,Sucrose,False,,
diazepam,Sucrose,False,,
lorazepam,Sucrose,False,,
lorazepam,Glucose,False,,
sildenafil,Sorbitol,False,,
isosorbide mononitrate,Potassium,False,,
isosorbide mononitrate,Sorbitol,False,,
nitroglycerin,Sorbitol,False,,
empagliflozin,Sorbitol,False,,
dapagliflozin,Potassium,False,,
dapagliflozin,Sorbitol,False,,
canagliflozin,Sorbitol,False,,
phenelzine,Sorbitol,False,,
tranylcypromine,Potassium,False,,
tranylcypromine,Sorbitol,False,,
isocarboxazid,Sorbitol,False,,
selegiline,Sorbitol,False,,
fluoxetine,Sorbitol,False,,
sertraline,Sorbitol,False,,
sildenafil,Soy Lecithin,False,,
t,Soy Lecithin,False,,
isosorbide mononitrate,Soy Lecithin,False,,
nitroglycerin,Soy Lecithin,False,,
empagliflozin,Soy Lecithin,False,,
dapagliflozin,Soy Lecithin,False,,
canagliflozin,Soy Lecithin,False,,
lisinopril,Soy Lecithin,True,POTASSIUM_OVERLOAD,HIGH
enalapril,Soy Lecithin,True,POTASSIUM_OVERLOAD,HIGH
ramipril,Soy Lecithin,True,POTASSIUM_OVERLOAD,HIGH
captopril,Soy Lecithin,True,POTASSIUM_OVERLOAD,HIGH
perindopril,Soy Lecithin,True,POTASSIUM_OVERLOAD,HIGH
spironolactone,Soy Lecithin,True,CHELATION_RISK,HIGH
amiloride,Soy Lecithin,True,POTASSIUM_OVERLOAD,HIGH
triamterene,Soy Lecithin,True,CHELATION_RISK,HIGH
phenelzine,Soy Lecithin,True,CHELATION_RISK,HIGH
tranylcypromine,Soy Lecithin,True,CHELATION_RISK,HIGH
isocarboxazid,Soy Lecithin,True,CHELATION_RISK,HIGH
selegiline,Soy Lecithin,True,CHELATION_RISK,HIGH
fluoxetine,Soy Lecithin,False,,
sertraline,Soy Lecithin,False,,
lisinopril,Crocin,False,,
enalapril,Crocin,False,,
ramipril,Crocin,False,,
captopril,Crocin,False,,
perindopril,Crocin,False,,
spironolactone,Crocin,False,,
amiloride,Crocin,False,,
triamterene,Crocin,False,,
empagliflozin,Linalool,False,,
empagliflozin,Geraniol,False,,
dapagliflozin,Linalool,False,,
dapagliflozin,Geraniol,False,,
canagliflozin,Linalool,False,,
canagliflozin,Geraniol,False,,
aspirin,Benzaldehyde,False,,
clopidogrel,Benzaldehyde,False,,
nsaid,Benzaldehyde,False,,
ibuprofen,Benzaldehyde,False,,
naproxen,Benzaldehyde,False,,
cyclosporine,Benzaldehyde,False,,
isotretinoin,Benzaldehyde,False,,
statins,Benzaldehyde,False,,
cyclosporine,Choline,False,,
clopidogrel,Sucrose,False,,
nsaid,Sucrose,False,,
nsaid,D-Fructose,False,,
nsaid,Glucose,False,,
ibuprofen,D-Fructose,False,,
ibuprofen,Glucose,False,,
naproxen,Sucrose,False,,
naproxen,D-Fructose,False,,
naproxen,Glucose,False,,
isotretinoin,D-Fructose,True,CHELATION_RISK,MEDIUM
metformin,Starch,False,,
lisinopril,Starch,False,,
enalapril,Starch,False,,
ramipril,Starch,False,,
captopril,Starch,False,,
perindopril,Starch,False,,
spironolactone,Starch,False,,
amiloride,Starch,False,,
triamterene,Starch,False,,
diazepam,Starch,False,,
alprazolam,Starch,False,,
lorazepam,Starch,False,,
omeprazole,Starch,False,,
lansoprazole,Starch,False,,
erythromycin,Starch,False,,
clarithromycin,Starch,False,,
azithromycin,Starch,False,,
insulin,Fiber,False,,
enalapril,Fiber,False,,
ramipril,Fiber,False,,
captopril,Fiber,False,,
perindopril,Fiber,False,,
spironolactone,Fiber,False,,
amiloride,Fiber,False,,
triamterene,Fiber,False,,
diazepam,Fiber,False,,
alprazolam,Fiber,False,,
lorazepam,Potassium,False,,
lorazepam,Fiber,False,,
lithium,Fiber,False,,
phenytoin,Fiber,False,,
statins,Potassium,False,,
isotretinoin,Potassium,False,,
lithium,Potassium,False,,
lisinopril,Fat,False,,
enalapril,Fat,False,,
ramipril,Fat,False,,
captopril,Fat,False,,
perindopril,Fat,False,,
amiloride,Fat,False,,
digoxin,Starch,False,,
lithium,Starch,False,,
phenytoin,Starch,False,,
lisinopril,Honey,False,,
enalapril,Honey,False,,
ramipril,Honey,False,,
captopril,Honey,False,,
perindopril,Honey,False,,
amiloride,Honey,False,,
triamterene,Honey,False,,
orlistat,Honey,False,,
aspirin,Alpha-Linolenic Acid,False,,
clopidogrel,Alpha-Linolenic Acid,False,,
phenytoin,Alpha-Linolenic Acid,False,,
aspirin,Linalool,False,,
clopidogrel,Linalool,False,,
warfarin,Linalool,False,,
t,Glucose,False,,
t,Linalool,False,,
amiodarone,Linalool,False,,
griseofulvin,Butyric Acid,False,,
estradiol,Butyric Acid,False,,
progesterone,Butyric Acid,False,,
conjugated estrogens,Butyric Acid,False,,
griseofulvin,Honey,False,,
paracetamol,Honey,False,,
atorvastatin,Honey,False,,
griseofulvin,Sesame,False,,
paracetamol,Sesame,False,,
atorvastatin,Sesame,False,,
warfarin,Sesame,False,,
diazepam,Sesame,False,,
alprazolam,Sesame,False,,
lorazepam,Sesame,False,,
griseofulvin,Arginine,False,,
griseofulvin,Niacin,False,,
warfarin,Niacin,False,,
levothyroxine,Arginine,False,,
levothyroxine,Niacin,False,,
phenytoin,Arginine,False,,
phenytoin,Niacin,False,,
orlistat,Arginine,False,,
orlistat,Niacin,False,,
fe,Glucose,False,,
tamoxifen,Amylopectin,False,,
estradiol,Amylopectin,False,,
progesterone,Amylopectin,False,,
conjugated estrogens,Amylopectin,False,,
conjugated estrogens,Potassium,False,,
levonorgestrel,Amylopectin,False,,
ethinylestradiol,Amylopectin,False,,
buspirone,Amylopectin,False,,
losartan,Amylopectin,False,,
tamoxifen,Cuminaldehyde,False,,
tamoxifen,Allicin,False,,
estradiol,Cuminaldehyde,False,,
estradiol,Allicin,False,,
progesterone,Cuminaldehyde,False,,
progesterone,Allicin,False,,
conjugated estrogens,Cuminaldehyde,False,,
conjugated estrogens,Allicin,False,,
levonorgestrel,Cuminaldehyde,False,,
levonorgestrel,Allicin,False,,
ethinylestradiol,Cuminaldehyde,False,,
ethinylestradiol,Allicin,False,,
empagliflozin,Starch,False,,
dapagliflozin,Starch,False,,
canagliflozin,Starch,False,,
losartan,Starch,False,,
valsartan,Starch,False,,
furosemide,Starch,False,,
torasemide,Starch,False,,
empagliflozin,Quercetin,False,,
empagliflozin,Allicin,False,,
dapagliflozin,Quercetin,False,,
dapagliflozin,Allicin,False,,
canagliflozin,Quercetin,False,,
canagliflozin,Allicin,False,,
